Unnamed: 0,cell_type,sampleID,status
st1,2,VALIGA_mhnhhiaij6,<30
st2,7,VALIGA_mhnhhiaij6,<30
st3,11,VALIGA_mhnhhiaij6,<30
st4,5,VALIGA_mhnhhiaij6,<30
st5,11,VALIGA_mhnhhiaij6,<30
st6,2,VALIGA_mhnhhiaij6,<30
st7,10,VALIGA_mhnhhiaij6,<30
st8,10,VALIGA_mhnhhiaij6,<30
st9,2,VALIGA_mhnhhiaij6,<30
st10,10,VALIGA_mhnhhiaij6,<30
st11,3,VALIGA_mhnhhiaij6,<30
st12,7,VALIGA_mhnhhiaij6,<30
st13,7,VALIGA_mhnhhiaij6,<30
st14,7,VALIGA_mhnhhiaij6,<30
st15,8,VALIGA_qtsqcpp0kw,>60
st16,4,VALIGA_qtsqcpp0kw,>60
st17,3,VALIGA_qtsqcpp0kw,>60
st18,5,VALIGA_qtsqcpp0kw,>60
st19,5,VALIGA_qtsqcpp0kw,>60
st20,12,VALIGA_qtsqcpp0kw,>60
st21,4,VALIGA_qtsqcpp0kw,>60
st22,0,VALIGA_qtsqcpp0kw,>60
st23,4,VALIGA_qtsqcpp0kw,>60
st24,6,VALIGA_qtsqcpp0kw,>60
st25,12,VALIGA_qtsqcpp0kw,>60
st26,5,VALIGA_qtsqcpp0kw,>60
st27,11,VALIGA_qtsqcpp0kw,>60
st28,1,VALIGA_qtsqcpp0kw,>60
st29,6,VALIGA_qtsqcpp0kw,>60
st30,13,VALIGA_qtsqcpp0kw,>60
st31,7,VALIGA_qtsqcpp0kw,>60
st32,5,VALIGA_kxn47jtsj7,30-60
st33,12,VALIGA_kxn47jtsj7,30-60
st34,7,VALIGA_kxn47jtsj7,30-60
st35,9,VALIGA_kxn47jtsj7,30-60
st36,7,VALIGA_kxn47jtsj7,30-60
st37,0,VALIGA_kxn47jtsj7,30-60
st38,5,VALIGA_kxn47jtsj7,30-60
st39,13,VALIGA_kxn47jtsj7,30-60
st40,3,VALIGA_kxn47jtsj7,30-60
st41,5,VALIGA_kxn47jtsj7,30-60
st42,0,VALIGA_kxn47jtsj7,30-60
st43,7,VALIGA_kxn47jtsj7,30-60
st44,2,VALIGA_kxn47jtsj7,30-60
st45,2,VALIGA_kxn47jtsj7,30-60
st46,1,VALIGA_kxn47jtsj7,30-60
st47,10,VALIGA_kxn47jtsj7,30-60
st48,1,VALIGA_kxn47jtsj7,30-60
st49,4,VALIGA_kxn47jtsj7,30-60
st50,5,VALIGA_kxn47jtsj7,30-60
st51,3,VALIGA_kxn47jtsj7,30-60
st52,4,VALIGA_kxn47jtsj7,30-60
st53,8,VALIGA_kxn47jtsj7,30-60
st54,4,VALIGA_kxn47jtsj7,30-60
st55,2,VALIGA_kxn47jtsj7,30-60
st56,7,VALIGA_v7wihwogxd,30-60
st57,12,VALIGA_v7wihwogxd,30-60
st58,1,VALIGA_v7wihwogxd,30-60
st59,12,VALIGA_v7wihwogxd,30-60
st60,1,VALIGA_v7wihwogxd,30-60
st61,3,VALIGA_v7wihwogxd,30-60
st62,1,VALIGA_v7wihwogxd,30-60
st63,1,VALIGA_v7wihwogxd,30-60
st64,4,VALIGA_v7wihwogxd,30-60
st65,6,VALIGA_v7wihwogxd,30-60
st66,9,VALIGA_v7wihwogxd,30-60
st67,1,VALIGA_v7wihwogxd,30-60
st68,10,VALIGA_v7wihwogxd,30-60
st69,0,VALIGA_v7wihwogxd,30-60
st70,8,VALIGA_v7wihwogxd,30-60
st71,4,VALIGA_v7wihwogxd,30-60
st72,1,VALIGA_v7wihwogxd,30-60
st73,4,VALIGA_v7wihwogxd,30-60
st74,13,VALIGA_v7wihwogxd,30-60
st75,6,VALIGA_v7wihwogxd,30-60
st76,12,VALIGA_v7wihwogxd,30-60
st77,8,VALIGA_v7wihwogxd,30-60
st78,1,VALIGA_v7wihwogxd,30-60
st79,10,VALIGA_v7wihwogxd,30-60
st80,9,VALIGA_v7wihwogxd,30-60
st81,9,VALIGA_v7wihwogxd,30-60
st82,4,VALIGA_v7wihwogxd,30-60
st83,9,VALIGA_v7wihwogxd,30-60
st84,2,VALIGA_v7wihwogxd,30-60
st85,4,VALIGA_6rfptyt3la,30-60
st86,11,VALIGA_6rfptyt3la,30-60
st87,7,VALIGA_6rfptyt3la,30-60
st88,0,VALIGA_6rfptyt3la,30-60
st89,9,VALIGA_6rfptyt3la,30-60
st90,2,VALIGA_6rfptyt3la,30-60
st91,2,VALIGA_6rfptyt3la,30-60
st92,4,VALIGA_6rfptyt3la,30-60
st93,4,VALIGA_6rfptyt3la,30-60
st94,3,VALIGA_6rfptyt3la,30-60
st95,3,VALIGA_6rfptyt3la,30-60
st96,3,VALIGA_6rfptyt3la,30-60
st97,6,VALIGA_6rfptyt3la,30-60
st98,6,VALIGA_6rfptyt3la,30-60
st99,6,VALIGA_6rfptyt3la,30-60
st100,2,VALIGA_6rfptyt3la,30-60
st101,5,VALIGA_6rfptyt3la,30-60
st102,9,VALIGA_ptx0nq0je1,>60
st103,0,VALIGA_ptx0nq0je1,>60
st104,0,VALIGA_ptx0nq0je1,>60
st105,4,VALIGA_ptx0nq0je1,>60
st106,8,VALIGA_ptx0nq0je1,>60
st107,0,VALIGA_ptx0nq0je1,>60
st108,1,VALIGA_ptx0nq0je1,>60
st109,8,VALIGA_ptx0nq0je1,>60
st110,1,VALIGA_ptx0nq0je1,>60
st111,0,VALIGA_ptx0nq0je1,>60
st112,1,VALIGA_ptx0nq0je1,>60
st113,4,VALIGA_5wsdox7vv8,30-60
st114,12,VALIGA_5wsdox7vv8,30-60
st115,1,VALIGA_5wsdox7vv8,30-60
st116,9,VALIGA_5wsdox7vv8,30-60
st117,7,VALIGA_gsn7dsolq3,>60
st118,0,VALIGA_gsn7dsolq3,>60
st119,3,VALIGA_gsn7dsolq3,>60
st120,6,VALIGA_gsn7dsolq3,>60
st121,13,VALIGA_gsn7dsolq3,>60
st122,5,VALIGA_gsn7dsolq3,>60
st123,2,VALIGA_go0idujzww,30-60
st124,2,VALIGA_go0idujzww,30-60
st125,3,VALIGA_go0idujzww,30-60
st126,5,VALIGA_go0idujzww,30-60
st127,5,VALIGA_go0idujzww,30-60
st128,2,VALIGA_go0idujzww,30-60
st129,5,VALIGA_go0idujzww,30-60
st130,0,VALIGA_go0idujzww,30-60
st131,3,VALIGA_go0idujzww,30-60
st132,0,VALIGA_go0idujzww,30-60
st133,7,VALIGA_go0idujzww,30-60
st134,4,VALIGA_go0idujzww,30-60
st135,4,VALIGA_go0idujzww,30-60
st136,1,VALIGA_go0idujzww,30-60
st137,7,VALIGA_go0idujzww,30-60
st138,0,VALIGA_go0idujzww,30-60
st139,0,VALIGA_go0idujzww,30-60
st140,2,VALIGA_t3zeiu1pyk,30-60
st141,3,VALIGA_t3zeiu1pyk,30-60
st142,3,VALIGA_t3zeiu1pyk,30-60
st143,7,VALIGA_t3zeiu1pyk,30-60
