Unnamed: 0,cell_type,sampleID,status
st1,2,VALIGA_mhnhhiaij6,<30
st2,11,VALIGA_mhnhhiaij6,<30
st3,8,VALIGA_mhnhhiaij6,<30
st4,2,VALIGA_mhnhhiaij6,<30
st5,3,VALIGA_mhnhhiaij6,<30
st6,1,VALIGA_mhnhhiaij6,<30
st7,2,VALIGA_mhnhhiaij6,<30
st8,1,VALIGA_mhnhhiaij6,<30
st9,1,VALIGA_mhnhhiaij6,<30
st10,5,VALIGA_mhnhhiaij6,<30
st11,0,VALIGA_mhnhhiaij6,<30
st12,3,VALIGA_mhnhhiaij6,<30
st13,12,VALIGA_mhnhhiaij6,<30
st14,8,VALIGA_mhnhhiaij6,<30
st15,6,VALIGA_mhnhhiaij6,<30
st16,10,VALIGA_mhnhhiaij6,<30
st17,9,VALIGA_mhnhhiaij6,<30
st18,8,VALIGA_mhnhhiaij6,<30
st19,0,VALIGA_mhnhhiaij6,<30
st20,4,VALIGA_mhnhhiaij6,<30
st21,5,VALIGA_mhnhhiaij6,<30
st22,13,VALIGA_mhnhhiaij6,<30
st23,7,VALIGA_mhnhhiaij6,<30
st24,6,VALIGA_mhnhhiaij6,<30
st25,14,VALIGA_mhnhhiaij6,<30
st26,10,VALIGA_mhnhhiaij6,<30
st27,6,VALIGA_mhnhhiaij6,<30
st28,5,VALIGA_mhnhhiaij6,<30
st29,1,VALIGA_mhnhhiaij6,<30
st30,6,VALIGA_mhnhhiaij6,<30
st31,4,VALIGA_mhnhhiaij6,<30
st32,4,VALIGA_mhnhhiaij6,<30
st33,6,VALIGA_mhnhhiaij6,<30
st34,2,VALIGA_mhnhhiaij6,<30
st35,12,VALIGA_mhnhhiaij6,<30
st36,10,VALIGA_mhnhhiaij6,<30
st37,8,VALIGA_mhnhhiaij6,<30
st38,1,VALIGA_mhnhhiaij6,<30
st39,5,VALIGA_mhnhhiaij6,<30
st40,14,VALIGA_mhnhhiaij6,<30
st41,1,VALIGA_mhnhhiaij6,<30
st42,5,VALIGA_mhnhhiaij6,<30
st43,1,VALIGA_mhnhhiaij6,<30
st44,3,VALIGA_mhnhhiaij6,<30
st45,3,VALIGA_mhnhhiaij6,<30
st46,5,VALIGA_mhnhhiaij6,<30
st47,2,VALIGA_mhnhhiaij6,<30
st48,8,VALIGA_mhnhhiaij6,<30
st49,6,VALIGA_mhnhhiaij6,<30
st50,8,VALIGA_mhnhhiaij6,<30
st51,2,VALIGA_mhnhhiaij6,<30
st52,4,VALIGA_mhnhhiaij6,<30
st53,5,VALIGA_mhnhhiaij6,<30
st54,4,VALIGA_mhnhhiaij6,<30
st55,10,VALIGA_mhnhhiaij6,<30
st56,4,VALIGA_mhnhhiaij6,<30
st57,11,VALIGA_mhnhhiaij6,<30
st58,8,VALIGA_mhnhhiaij6,<30
st59,2,VALIGA_mhnhhiaij6,<30
st60,4,VALIGA_mhnhhiaij6,<30
st61,6,VALIGA_mhnhhiaij6,<30
st62,3,VALIGA_mhnhhiaij6,<30
st63,2,VALIGA_mhnhhiaij6,<30
st64,4,VALIGA_mhnhhiaij6,<30
st65,4,VALIGA_mhnhhiaij6,<30
st66,5,VALIGA_mhnhhiaij6,<30
st67,12,VALIGA_mhnhhiaij6,<30
st68,5,VALIGA_mhnhhiaij6,<30
st69,5,VALIGA_mhnhhiaij6,<30
st70,3,VALIGA_mhnhhiaij6,<30
st71,3,VALIGA_mhnhhiaij6,<30
st72,1,VALIGA_mhnhhiaij6,<30
st73,2,VALIGA_mhnhhiaij6,<30
st74,5,VALIGA_mhnhhiaij6,<30
st75,5,VALIGA_mhnhhiaij6,<30
st76,2,VALIGA_mhnhhiaij6,<30
st77,1,VALIGA_mhnhhiaij6,<30
st78,2,VALIGA_mhnhhiaij6,<30
st79,5,VALIGA_mhnhhiaij6,<30
st80,2,VALIGA_mhnhhiaij6,<30
st81,2,VALIGA_mhnhhiaij6,<30
st82,3,VALIGA_mhnhhiaij6,<30
st83,1,VALIGA_mhnhhiaij6,<30
st84,2,VALIGA_mhnhhiaij6,<30
st85,1,VALIGA_mhnhhiaij6,<30
st86,5,VALIGA_mhnhhiaij6,<30
st87,2,VALIGA_mhnhhiaij6,<30
st88,9,VALIGA_mhnhhiaij6,<30
st89,5,VALIGA_mhnhhiaij6,<30
st90,8,VALIGA_mhnhhiaij6,<30
st91,2,VALIGA_mhnhhiaij6,<30
st92,9,VALIGA_mhnhhiaij6,<30
st93,5,VALIGA_mhnhhiaij6,<30
st94,2,VALIGA_mhnhhiaij6,<30
st95,5,VALIGA_mhnhhiaij6,<30
st96,9,VALIGA_mhnhhiaij6,<30
st97,1,VALIGA_mhnhhiaij6,<30
st98,7,VALIGA_mhnhhiaij6,<30
st99,5,VALIGA_mhnhhiaij6,<30
st100,4,VALIGA_mhnhhiaij6,<30
st101,2,VALIGA_mhnhhiaij6,<30
st102,5,VALIGA_mhnhhiaij6,<30
st103,5,VALIGA_mhnhhiaij6,<30
st104,6,VALIGA_mhnhhiaij6,<30
st105,2,VALIGA_mhnhhiaij6,<30
st106,4,VALIGA_mhnhhiaij6,<30
st107,5,VALIGA_mhnhhiaij6,<30
st108,3,VALIGA_mhnhhiaij6,<30
st109,6,VALIGA_mhnhhiaij6,<30
st110,7,VALIGA_mhnhhiaij6,<30
st111,1,VALIGA_mhnhhiaij6,<30
st112,12,VALIGA_mhnhhiaij6,<30
st113,11,VALIGA_mhnhhiaij6,<30
st114,7,VALIGA_mhnhhiaij6,<30
st115,11,VALIGA_mhnhhiaij6,<30
st116,1,VALIGA_mhnhhiaij6,<30
st117,9,VALIGA_mhnhhiaij6,<30
st118,2,VALIGA_mhnhhiaij6,<30
