,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance
st1,28.69,805.53,9.41
st2,11.93,302.36,0.34
st3,28.61,1601.05,2.9
st4,38.93,1383.63,7.08
st5,40.43,1690.65,8.35
st6,41.01,3348.89,2.05
st7,26.34,899.34,27.72
st8,35.07,2510.05,8.43
st9,33.86,3654.32,5.58
st10,18.7,338.18,8.43
st11,40.13,1893.62,3.37
st12,44.67,2312.99,16.31
st13,68.28,12133.03,1.51
st14,41.84,2334.82,5.89
st15,44.34,4441.88,2.38
st16,15.38,508.17,2.38
st17,53.89,3204.25,1.69
st18,33.38,1979.81,3.37
st19,45.85,1947.29,2.88
st20,17.96,383.89,1.39
st21,14.73,227.31,5.49
st22,31.99,1500.18,0.48
st23,53.83,3360.03,1.07
st24,64.86,8430.73,1.69
st25,19.32,672.71,1.07
st26,10.32,262.1,1.01
st27,31.07,3729.82,1.07
st28,18.65,355.57,6.3
st29,36.51,3056.65,2.88
st30,75.28,7946.89,2.7
st31,13.57,211.39,1.07
st32,30.05,769.37,5.33
st33,41.41,5746.36,2.88
st34,28.37,1022.26,11.31
st35,33.48,5019.75,1.51
st36,39.14,1346.67,4.54
st37,43.25,2732.81,3.18
st38,40.61,3914.37,8.45
st39,18.21,326.8,5.97
st40,32.94,1169.29,2.7
st41,37.39,4305.08,8.45
st42,13.89,183.76,8.77
st43,69.96,5495.86,3.03
st44,34.4,1534.75,12.8
st45,39.12,1477.21,6
st46,14.43,221.28,6.68
st47,38.35,1330.53,6.48
st48,25.85,1787.08,7.02
st49,56.67,7201.29,2.72
st50,26.98,1597.07,3.03
st51,24.96,748.22,16.74
st52,15.39,413,6
st53,12.88,178.75,24.63
st54,21.84,561.84,13.22
st55,29.63,798.93,1.69
st56,18.99,459.39,5.65
st57,15.26,542.97,0.34
st58,23.38,1300.28,6.2
st59,22.93,799.27,16.59
st60,27.39,634.51,6.94
st61,87.02,9432.29,2.38
st62,24.37,1016.23,7.02
st63,21.59,611.88,3.58
st64,24.7,607.78,6.2
st65,22.18,490.89,6.4
st66,12.44,577.19,41.06
st67,71.76,15644.87,2.38
st68,15.26,324.76,31.36
st69,24.21,505.22,14.29
st70,26.19,1196.12,6.42
st71,23.69,1042.38,3.58
st72,57.37,4191.37,7.24
st73,27.66,943.57,6.4
st74,13.44,189.56,17.92
st75,19.64,532.73,17.87
st76,25.04,885.01,9.66
st77,52.38,4174.43,2.45
