,glom_sizes,glom_diameters,glom_distance_to_closest_glom,glom_shape_circularity,glom_shape_eccentricity,glom_shape_elongation,glom_shape_solidity,glom_tuft_sizes,glom_tuft_shape_circularity,glom_tuft_shape_eccentricity,glom_tuft_shape_elongation,glom_tuft_shape_solidity,glom_bowman_sizes,glom_tufttocapsule_ratio,sampleID,Time_score
0,29839.25,170.45,109.1,0.66,0.59,0.19,0.97,18380.07,0.46,0.53,0.15,0.93,11459.18,0.6159696,VALIGA_mhnhhiaij6,591
1,7313.41,73.94,16.46,0.67,0.76,0.36,0.96,875.69,0.12,0.58,0.18,0.74,6437.72,0.11973758,VALIGA_mhnhhiaij6,591
2,40900.79,209.18,16.46,0.58,0.38,0.08,0.97,31857.95,0.53,0.55,0.16,0.96,9042.83,0.77890795,VALIGA_mhnhhiaij6,591
3,12261.07,96.18,71.31,0.48,0.77,0.36,0.9,5737.04,0.22,0.84,0.46,0.83,6524.03,0.46790695,VALIGA_mhnhhiaij6,591
4,40017.94,202.08,71.31,0.59,0.35,0.06,0.97,30567.68,0.36,0.33,0.06,0.92,9450.26,0.76384944,VALIGA_mhnhhiaij6,591
5,26131.49,162.82,103.91,0.47,0.5,0.14,0.95,7581.2,0.56,0.43,0.1,0.92,18550.29,0.2901174,VALIGA_mhnhhiaij6,591
6,36756.15,182.09,116.2,0.45,0.47,0.12,0.93,27110.54,0.44,0.54,0.16,0.92,9645.61,0.73757833,VALIGA_mhnhhiaij6,591
7,35469.86,183.32,6.0,0.76,0.65,0.24,0.98,24851.45,0.34,0.55,0.16,0.93,10618.41,0.7006357,VALIGA_mhnhhiaij6,591
8,20460.17,140.41,66.02,0.53,0.38,0.07,0.94,9320.06,0.25,0.3,0.04,0.85,11140.11,0.45552212,VALIGA_mhnhhiaij6,591
9,41235.44,204.66,194.4,0.75,0.6,0.2,0.98,26918.25,0.54,0.37,0.07,0.94,14317.19,0.65279406,VALIGA_mhnhhiaij6,591
10,31554.23,190.42,543.48,0.83,0.41,0.09,0.99,20489.85,0.4,0.54,0.16,0.93,11064.38,0.6493535,VALIGA_mhnhhiaij6,591
11,12730.24,118.86,543.48,0.67,0.28,0.04,0.98,3622.14,0.37,0.69,0.27,0.91,9108.1,0.28453037,VALIGA_mhnhhiaij6,591
12,12042.18,96.18,383.06,0.53,0.65,0.24,0.92,2000.51,0.29,0.95,0.68,0.7,10041.67,0.16612524,VALIGA_mhnhhiaij6,591
13,13045.79,101.98,383.06,0.6,0.69,0.28,0.96,3713.67,0.56,0.66,0.25,0.94,9332.11,0.28466424,VALIGA_mhnhhiaij6,591
14,20079.58,132.88,327.4,0.62,0.57,0.18,0.97,13849.72,0.49,0.67,0.25,0.92,6229.86,0.6897415,VALIGA_qtsqcpp0kw,280
15,4817.35,65.0,237.77,0.45,0.7,0.29,0.92,575.83,0.56,0.58,0.19,0.89,4241.52,0.119532526,VALIGA_qtsqcpp0kw,280
16,24969.59,152.7,141.48,0.64,0.56,0.17,0.93,17349.39,0.38,0.69,0.27,0.87,7620.2,0.69482076,VALIGA_qtsqcpp0kw,280
17,16645.3,116.24,314.12,0.66,0.68,0.27,0.96,8518.74,0.43,0.79,0.38,0.89,8126.55,0.5117805,VALIGA_qtsqcpp0kw,280
18,15148.64,113.52,77.22,0.64,0.66,0.25,0.93,7420.53,0.48,0.71,0.29,0.86,7728.11,0.48984793,VALIGA_qtsqcpp0kw,280
19,19605.3,136.72,77.22,0.7,0.49,0.13,0.96,15609.05,0.34,0.59,0.19,0.92,3996.24,0.7961648,VALIGA_qtsqcpp0kw,280
20,4225.83,52.71,251.65,0.23,0.42,0.09,0.88,1447.08,0.28,0.63,0.23,0.73,2778.75,0.34243688,VALIGA_qtsqcpp0kw,280
21,7725.27,76.9,251.65,0.64,0.74,0.33,0.94,3770.3,0.32,0.68,0.27,0.8,3954.97,0.48804766,VALIGA_qtsqcpp0kw,280
22,5969.12,65.34,88.27,0.44,0.81,0.41,0.88,4088.12,0.57,0.82,0.43,0.95,1881.0,0.6848782,VALIGA_qtsqcpp0kw,280
23,27337.16,154.87,88.27,0.52,0.55,0.16,0.94,19360.71,0.29,0.67,0.26,0.88,7976.46,0.7082195,VALIGA_qtsqcpp0kw,280
24,20956.41,140.72,21.98,0.73,0.49,0.13,0.96,16277.67,0.55,0.48,0.12,0.94,4678.74,0.7767394,VALIGA_qtsqcpp0kw,280
25,12652.8,106.0,21.98,0.67,0.6,0.2,0.94,6648.43,0.57,0.65,0.24,0.9,6004.37,0.5254513,VALIGA_qtsqcpp0kw,280
26,38622.03,156.43,21.13,0.26,0.88,0.52,0.83,27664.76,0.21,0.91,0.59,0.73,10957.27,0.7162948,VALIGA_qtsqcpp0kw,280
27,13558.28,111.24,134.7,0.71,0.6,0.2,0.95,10194.49,0.53,0.41,0.09,0.94,3363.79,0.75190145,VALIGA_qtsqcpp0kw,280
28,24362.04,150.26,313.05,0.76,0.35,0.06,0.96,18741.44,0.38,0.41,0.09,0.92,5620.6,0.7692886,VALIGA_qtsqcpp0kw,280
29,24428.9,140.55,304.43,0.69,0.61,0.21,0.94,18571.21,0.37,0.64,0.23,0.91,5857.69,0.76021475,VALIGA_qtsqcpp0kw,280
30,6453.08,71.76,304.43,0.57,0.4,0.09,0.91,556.84,0.49,0.81,0.42,0.84,5896.23,0.086290576,VALIGA_qtsqcpp0kw,280
31,19227.1,138.24,387.79,0.65,0.5,0.13,0.97,11437.69,0.29,0.54,0.16,0.88,7789.4,0.59487337,VALIGA_kxn47jtsj7,490
32,24553.53,144.06,490.6,0.71,0.62,0.21,0.95,20007.15,0.32,0.63,0.22,0.89,4546.38,0.81483805,VALIGA_kxn47jtsj7,490
33,9414.67,97.2,32.1,0.69,0.39,0.08,0.97,380.25,0.22,0.73,0.32,0.73,9034.42,0.040389095,VALIGA_kxn47jtsj7,490
34,3724.14,50.58,339.78,0.26,0.79,0.39,0.86,1667.68,0.14,0.89,0.55,0.64,2056.46,0.44780272,VALIGA_kxn47jtsj7,490
35,15544.58,109.19,512.77,0.44,0.71,0.3,0.94,690.79,0.04,0.47,0.12,0.51,14853.79,0.044439282,VALIGA_kxn47jtsj7,490
36,10440.0,93.74,250.16,0.69,0.74,0.33,0.97,4607.89,0.17,0.82,0.43,0.77,5832.1,0.4413688,VALIGA_kxn47jtsj7,490
37,17606.38,106.56,67.48,0.3,0.78,0.38,0.89,9704.52,0.3,0.85,0.48,0.78,7901.86,0.55119336,VALIGA_kxn47jtsj7,490
38,19325.11,134.76,250.16,0.72,0.53,0.15,0.98,13583.98,0.31,0.66,0.25,0.89,5741.13,0.70291865,VALIGA_kxn47jtsj7,490
