,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
1,SERPINE1,linear down quadratic up,0.09718210537290695,linear_quadratic,0.7429510523370271,-0.22355447119201524,0.015273170312615344,0.0,0.1497435483214069,0.6868880647035039,0.6844181459566075,0.9315030678366505
2,COL1A1,linear down quadratic up,0.12655245143463878,linear_quadratic,1.067434975973207,-0.17644238742337898,0.014428325659905608,0.0,0.31300865478403606,0.6799664143535051,0.46440738748431054,1.3261459144540075
5,POSTN,linear down quadratic up,0.11909804415732454,linear_quadratic,0.7019078531788329,-0.2106826897060223,0.015703844469683183,0.0,0.13759353455872525,0.6750645377448824,0.6379774072081764,1.0587781996584185
6,COL3A1,linear down quadratic up,0.11353003045341911,linear_quadratic,2.0054714946129457,-0.20687068411168455,0.015257176884052556,0.0,0.2720456278309259,0.6640018279238716,0.28438228438228436,1.9768925102348935
7,GPC6,linear down quadratic up,0.10509970786480503,linear_quadratic,1.382642049843564,-0.24061444617578354,0.01646257876383755,0.0,0.21467435672971868,0.6571811154673866,0.5042137349829657,1.3199863012461899
8,COL1A2,linear down quadratic up,0.09202947105202341,linear_quadratic,2.228017011110563,-0.14514292691917308,0.01129392371291412,0.0,0.2268228185965372,0.6532772001772925,0.2062937062937063,2.1439599423032094
10,PLCG2,linear down quadratic up,0.07933863416274041,linear_quadratic,1.2025692352354824,-0.2790737997412147,0.017067258757331196,0.0,0.18608149662042883,0.6429642126802058,0.6236327774789313,0.8624893697220728
13,THBS2,linear down quadratic up,0.08846434454585429,linear_quadratic,0.8430049562000215,-0.18151081048610643,0.0128559597634267,0.0,0.1942218971542643,0.6311701744938347,0.6026537564999104,0.8807389595472477
17,FGF12,linear down quadratic up,-0.1313417925295659,linear_quadratic,3.0966929557542007,-0.2836748596769993,0.007253955578449209,0.0,0.19674595416588136,0.6233068973858706,0.5040344271113502,1.110221423232921
18,HIF1A,linear down quadratic up,0.0775515393319635,linear_quadratic,0.6899444720150043,-0.1885361052541449,0.012670840218386114,0.0,0.17972411728999682,0.6157985327960136,0.6713286713286714,0.678888776208535
24,COL6A3,linear down quadratic up,0.05792580025291954,linear_quadratic,2.3889188585744363,-0.06159591400761394,0.005691510202882547,2.637592740403033e-232,0.08792158064746547,0.6084915656008525,0.1446117984579523,2.3711945515187374
40,UACA,linear down quadratic up,0.052168582671386965,linear_quadratic,1.422431817840386,-0.2016849771541487,0.012088264753596938,3.191549245496158e-180,0.1257111164493886,0.5841860251816942,0.5118343195266272,1.0425476923973462
41,MLIP,linear down quadratic up,-0.09707606255877665,linear_quadratic,2.1496596672646486,-0.13244633042674397,0.0016842984699032058,0.0,0.1301630443516515,0.5840381672781778,0.5179307871615564,0.990190309396629
42,RBM25,linear down quadratic up,0.06945851458053383,linear_quadratic,0.757275519666181,-0.10003073858321432,0.00807091681732134,1.2528321472546977e-301,0.13210372468822873,0.5838262462733138,0.5523578985117447,0.906040904758831
43,CTNNA3,linear down quadratic up,-0.10291850795773586,linear_quadratic,2.5162233568274615,-0.15480751000595025,0.002470904859438781,0.0,0.12586754177137693,0.5818982860673703,0.4414559799175184,1.1961012989564281
44,COL5A1,linear down quadratic up,0.07824085890360719,linear_quadratic,1.2746056726512447,-0.08230941788219062,0.0076452512755141805,7.414920588976079e-263,0.12220850056718646,0.5817297233542071,0.3533261610184687,1.4901387047229695
50,PRRC2C,linear down quadratic up,0.0677000439839337,linear_quadratic,1.0271455624904582,-0.10655220706467126,0.00829772624040976,2.0655938358838833e-266,0.1254293216258371,0.5784365157827307,0.4624350008965394,1.1037481199623453
55,ABCA10,linear down quadratic up,-0.08571825361095603,linear_quadratic,2.2092913490693196,-0.18938712208311118,0.00493661278438834,1.1082018590707329e-234,0.07930089922239503,0.5743567752254457,0.5615922538999462,0.9653707959637798
58,SORBS2,linear down quadratic up,-0.09501254347111854,linear_quadratic,2.4078341165244797,-0.12688306907857516,0.001517644076545554,1.1040013188299224e-306,0.11354369102620154,0.5738028501006955,0.4151873767258383,1.2447269619096288
60,CALD1,linear down quadratic up,0.04111644831791373,linear_quadratic,2.2220031068010337,-0.06314074470836664,0.0049646282393466835,8.273158266624342e-109,0.027686112761763138,0.5731916196786568,0.16971490048413126,2.0653969335843647
64,SRRM2,linear down quadratic up,0.07587620164504572,linear_quadratic,0.9997956044122592,-0.05511411761341667,0.006237634250402971,6.149528763246206e-267,0.11192366014906219,0.5725790704424648,0.3832705755782679,1.3042207151317913
75,NEAT1,linear down quadratic up,0.022384006022577962,linear_quadratic,3.6691276914971267,-0.03757182888952581,0.002855039757719227,9.870022037132467e-78,0.039491550285783106,0.565662022718629,0.007351622736238121,3.6330521815402546
87,FKBP5,linear down quadratic up,0.04237653632079313,linear_quadratic,1.5240396067352155,-0.14238569835832013,0.008798201651386346,3.4106296707038506e-85,0.04929421371494125,0.5613042888714119,0.4315940469786624,1.324972486670253
88,RRBP1,linear down quadratic up,0.06488306617269218,linear_quadratic,0.9768328802433537,-0.06765605894914194,0.0063113869105635295,1.5553442351836406e-218,0.09767151604507729,0.5606779694882673,0.4360767437690515,1.1736215829881658
97,DST,linear down quadratic up,0.017055311401699417,linear_quadratic,2.4560707974013054,-0.04189876317246201,0.0028073368844838778,7.664007519445262e-08,-0.03647609646992378,0.5577961412703909,0.13313609467455623,2.2055873171239018
102,AKAP13,linear down quadratic up,-0.007969965440371365,linear_quadratic,2.6851190310831137,-0.04778860648089712,0.0018961257638345583,5.796639653922952e-24,-0.033886349433579044,0.5562753312505995,0.12775685852608928,2.237593102898512
103,TPM4,linear down quadratic up,0.04400581621561408,linear_quadratic,0.5358203461264684,-0.053373938484687355,0.00463713117620483,4.5185655764017937e-178,0.07120079119685063,0.5562688735949993,0.6186121570736955,0.7504888571866595
104,VMP1,linear down quadratic up,0.05850166388474311,linear_quadratic,1.2161909478545239,-0.09060554286664572,0.007100343178637563,6.147635101038452e-168,0.08109631399111117,0.5561652073879566,0.40918056302671685,1.2881828056939215
105,CFH,linear down quadratic up,0.013699241250444626,linear_quadratic,1.0982516716171888,-0.16985222074744175,0.008740545809423161,1.9970918520783814e-40,0.022045539287429805,0.5559695741624138,0.6464945311099157,0.7340220782759548
108,MYO9B,linear down quadratic up,0.04795003390426976,linear_quadratic,0.5517870411398408,-0.06491395908049381,0.005374475856417313,9.222551720273943e-196,0.07820529694881007,0.5551559104344306,0.6186121570736955,0.7436354170459027
114,PPP1R12B,linear down quadratic up,-0.0729631861549771,linear_quadratic,1.8853195390922615,-0.11302990494321291,0.0019079389899159904,4.743019919395069e-211,0.07512588710294865,0.5540103312636697,0.5017034247803479,0.9815057699641384
115,PDGFRA,linear down quadratic up,0.05540903276523853,linear_quadratic,1.249975455714556,-0.0832709707898759,0.006603809693100687,1.0365761403721318e-138,0.06588869149758159,0.5536541440473485,0.41007710238479467,1.330549387874305
125,COL6A1,linear down quadratic up,0.06124055677321941,linear_quadratic,0.9173268535715318,-0.03038050866939265,0.004362907878219621,1.006968834742042e-180,0.07467245789819243,0.5508712148300369,0.41787699480007173,1.2386659117930785
133,KIAA1217,linear down quadratic up,0.03243182561379503,linear_quadratic,0.7001928885906535,-0.06925362900056391,0.004842164505445664,1.7000282730809475e-104,0.035338852136779564,0.5482135000185613,0.6135915366684598,0.796325693384436
134,PRKN,linear down quadratic up,-0.06780143316630728,linear_quadratic,2.0503271621401997,-0.1414594869522023,0.003507526370756907,1.1226938665554885e-160,0.06097001515132561,0.5481174544879218,0.48968979738210505,1.0655486911619148
135,RNF213,linear down quadratic up,0.03801389460120991,linear_quadratic,0.8198664555632349,-0.09280567737485285,0.00622950342743156,6.895244987446982e-137,0.06806990189029094,0.547933431555095,0.5883091267706653,0.7992506706428187
136,SLC20A1,linear down quadratic up,0.026338720854860477,linear_quadratic,0.5015515514206493,-0.03713585092707131,0.003022598656282466,2.8045677606501244e-110,0.018932346333283334,0.5475640781360829,0.6386049847588309,0.731265836559082
141,PALLD,linear down quadratic up,-0.03760172130806833,linear_quadratic,2.6367397400430512,-0.06967886833186047,0.0015274831916091505,6.808982854860685e-93,0.009458754583269946,0.5465010347302507,0.22879684418145957,1.8947161998440023
146,LUC7L3,linear down quadratic up,0.046940700654045736,linear_quadratic,1.2046607417241664,-0.08968349961066817,0.00650591429831971,1.2176199444774564e-133,0.06845770101479298,0.545843926936363,0.41868388022234176,1.1947870728832706
148,TCF25,linear down quadratic up,0.046377125584161794,linear_quadratic,0.8610468388429702,-0.07076197524110485,0.0055780524202507925,5.342115242794824e-153,0.07312873974897194,0.5452971625142713,0.5195445580060964,0.9451732542800788
149,ABCA9,linear down quadratic up,-0.057278931022290556,linear_quadratic,2.060071992603939,-0.1507506313846582,0.004451033350588935,2.5531414684785786e-91,0.03892162432726509,0.5449706212689349,0.49515868746637975,1.121968390498476
