,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
4,NEGR1,quadratic down,-0.15217231763681763,quadratic,2.8562051909049413,-0.007246300839848459,nan,0.0,0.2901575689370476,0.6775481096868539,0.3484848484848485,1.6850815267473556
12,TTN,quadratic down,-0.06470677963741184,quadratic,3.373501232897802,-0.0030812752208291354,nan,0.0,0.16572182520661716,0.6326818226967095,0.09306078536847767,2.763729361247086
14,RBMS3,quadratic down,-0.06674091936899455,quadratic,3.2022298673828513,-0.0031781390175711697,nan,0.0,0.13493269689289422,0.6291208211411023,0.12614308768154922,2.5183375378698227
15,RYR2,quadratic down,-0.07594157313812833,quadratic,3.2767100418528163,-0.00361626538752992,nan,0.0,0.17551118705921243,0.628851311032435,0.1128743051819975,2.598077917966649
26,NFIA,quadratic down,-0.10122088614463318,quadratic,2.645290843981602,-0.004820042197363484,nan,0.0,0.14797260456474837,0.6054352746902194,0.25963779809933657,1.8265330017267347
29,MIR99AHG,quadratic down,-0.1057685081331507,quadratic,2.39842484792106,-0.005036595625388128,nan,0.0,0.14476509286227313,0.5983389942062327,0.3275954814416353,1.5753909571337634
33,DCN,quadratic down,-0.1001929964927279,quadratic,2.3547114713576094,-0.004771095071082282,nan,0.0,0.13021357602424521,0.5929081584748725,0.3319885242962166,1.585565758056303
34,TBX20,quadratic down,-0.07086639959084882,quadratic,1.2509566821864,-0.003374590456707087,nan,0.0,0.13414213587159707,0.5896101859249017,0.5919849381387843,0.8510044665501165
35,SOX6,quadratic down,-0.09427806689862356,quadratic,1.876129590257474,-0.004489431757077313,nan,4.871052968892863e-304,0.12754452267759442,0.5872942122693345,0.4469248700017931,1.2215680576152053
36,RORA,quadratic down,-0.041978676663239956,quadratic,2.8775911994806256,-0.0019989846030114265,nan,7.237071349979599e-178,0.030965214215042614,0.5862837578606648,0.1481083019544558,2.352570351506186
38,ADAMTSL3,quadratic down,-0.07298694939469615,quadratic,1.309539993461688,-0.003475569018795055,nan,1.467e-320,0.1304134220555322,0.5857695754069907,0.5757575757575758,0.8791984854276494
46,ZFPM2,quadratic down,-0.08764075027029987,quadratic,2.3889493401847504,-0.00417336906049047,nan,2.126780260001616e-291,0.10859788035816698,0.579834092633198,0.28070647301416535,1.672492955252824
47,NOX4,quadratic down,-0.07070381637101611,quadratic,1.424080283770857,-0.003366848398619814,nan,1.6061678743065268e-246,0.09738970563863458,0.5792697025127427,0.5569302492379415,1.0277247967330105
52,AFF3,quadratic down,-0.05078590653766469,quadratic,0.8925330261024019,-0.0024183765017935567,nan,9.505709380884464e-223,0.05870687276683906,0.5770908910338142,0.6499910346064193,0.7347531932535414
59,PDE3A,quadratic down,-0.05625386740504614,quadratic,2.5408696731154645,-0.0026787555907164837,nan,2.668860934832849e-221,0.0716328953552181,0.5737294658946649,0.19786623632777478,1.9727323978599605
65,MGP,quadratic down,-0.07721297338604893,quadratic,1.681050702891682,-0.0036768082564785204,nan,3.859069577014688e-235,0.09526222150568242,0.5718190934582852,0.4547247624170701,1.1723573802420655
71,ZEB1,quadratic down,-0.07970706087773578,quadratic,2.3845724941381965,-0.0037955743275112272,nan,1.0656805411355328e-239,0.0813489062417816,0.568912909388311,0.28635467097005557,1.7124799014066705
76,FGF14,quadratic down,-0.038258185589850884,quadratic,0.7284946843338106,-0.0018218183614214707,nan,6.57261382388391e-174,-0.00825825905642219,0.5653125804337301,0.6596736596736597,0.7610027483261611
77,MYL2,quadratic down,-0.04635094868685095,quadratic,0.822663733679249,-0.0022071880327071878,nan,1.750456444136302e-216,0.06505980568600545,0.5644310547907174,0.6506186121570737,0.6613805683046441
79,SPARCL1,quadratic down,-0.0793212342094647,quadratic,1.8718903477570896,-0.0037772016290221282,nan,4.1155620937528615e-234,0.09456022135550535,0.5635674812607049,0.40783575398960015,1.300673799160839
80,TCF4,quadratic down,-0.06682121833151342,quadratic,2.3927169213783377,-0.0031819627776911146,nan,1.0818347345602054e-200,0.06684531904598412,0.5634184901615824,0.2526447911063296,1.7786953725354135
85,PLA2G5,quadratic down,-0.04302800746728588,quadratic,1.0578656305186123,-0.002048952736537423,nan,1.0258450532271208e-99,0.019996926212600186,0.5616575600513618,0.5893849740003586,0.9256776808382642
86,NOVA1,quadratic down,-0.04921354685220197,quadratic,0.9059463357045379,-0.0023435022310572366,nan,1.7680729003609725e-214,0.07140441843528322,0.5613448286443476,0.6369015599784831,0.7005301825883091
107,UNC5C,quadratic down,-0.06357191580216981,quadratic,1.43391908412603,-0.00302723408581761,nan,9.434550363574094e-205,0.0825107766048423,0.5554358852672878,0.5034068495606957,1.035279476128743
