,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
0,PDE1A,linear down quadratic up,0.01998346809178736,linear_quadratic,2.5145380278504907,-0.5200153493564225,0.029999934302678322,0.0,0.2541411695327048,0.6462751030605751,0.3642880068471167,1.0852929181116937
1,SEMA5A,linear down quadratic up,-0.02610291082521067,linear_quadratic,2.313502800748624,-0.22659755483282246,0.01113859133375621,0.0,0.26406717862947526,0.6355008875006345,0.07398095645661709,1.507347937906815
4,CHRM2,linear down quadratic up,-0.025846601358428728,linear_quadratic,2.8596749881466543,-0.20742917043069078,0.01008792050401456,0.0,0.21182716423846182,0.6186599711159227,0.030758532149352733,2.102329971875468
5,PLEKHA5,linear down quadratic up,-0.0013641310648516147,linear_quadratic,3.1269225042287645,-0.15745509814891762,0.008671720393559222,0.0,0.18076224637395633,0.6112168536616209,0.005937734032309832,2.6097302250818446
6,FKBP5,linear down quadratic up,0.013511360998003485,linear_quadratic,2.8169320726823956,-0.4708040250820866,0.02690641033778278,1.5136840349401947e-275,0.17171623783189072,0.610448076594171,0.20268535358938697,1.3971501348384507
7,AC011287.1,linear down quadratic up,-0.049785284355793824,linear_quadratic,2.9844209471290455,-0.1320937642898606,0.004572693329670377,0.0,0.1648963210280614,0.6063548740392954,0.034075104311543813,2.3534440603953137
8,SYNPO2,linear down quadratic up,-0.01953707667577309,linear_quadratic,2.906076361056748,-0.14594938523510628,0.0070229060310740676,0.0,0.1707829276807573,0.603663251663154,0.012998823151813416,2.3609439999636246
9,CLEC2D,linear down quadratic up,0.0001572091356297628,linear_quadratic,0.9516423053434109,-0.19568949913092354,0.010880372681475183,0.0,0.20350749003952084,0.602684190055906,0.5467529688670162,0.4171822516422381
10,MYH6,linear down quadratic up,0.026503387639418646,linear_quadratic,3.0121151662064864,-0.45861713544123794,0.026951140171147588,1.4861258400266133e-191,0.11801263932939121,0.5980399793391344,0.16556114261260296,1.7772538000251414
11,LINC01428,linear down quadratic up,-0.03430182181141939,linear_quadratic,1.4461648384446641,-0.21027395415408395,0.009776229574592477,0.0,0.1907527012273168,0.5967223972234225,0.33936022253129344,0.7424663786936984
12,AC022034.3,linear down quadratic up,-0.039153772247229976,linear_quadratic,2.6779061108635096,-0.23019584938187376,0.010613448729702433,0.0,0.17517768605269113,0.5960121627382808,0.11270996041510645,1.825422160961806
13,AUTS2,linear down quadratic up,0.025884489972750585,linear_quadratic,2.369761411059434,-0.2512749608911373,0.015397747270215997,0.0,0.17515463598629466,0.5948566776751766,0.06515459505723761,1.6303407636642773
16,MBNL1,linear down quadratic up,-0.02772324461770151,linear_quadratic,2.6306188865641613,-0.0989179343202648,0.003955260539031293,0.0,0.1580927597912244,0.5914728385060894,0.01080560607681609,2.213344429617524
17,FHOD3,linear down quadratic up,0.004751170550822942,linear_quadratic,3.4089942928260997,-0.1501552307695387,0.008605911184464536,0.0,0.14625843246748127,0.5887839035552203,0.0026746549695089335,2.938246599403552
20,GRXCR2,linear down quadratic up,-0.030271988409655563,linear_quadratic,1.0487318613503178,-0.17842255550422373,0.008230587060809343,0.0,0.14197317193753367,0.5875706058791814,0.5439178345993367,0.5599275012207124
22,L3MBTL4,linear down quadratic up,-0.016612713061284912,linear_quadratic,0.8968546605964115,-0.18027099035583477,0.009092126516363881,0.0,0.16141528740515565,0.5869988589057222,0.6182197496522949,0.42653225753664276
