,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
14,MLIP,linear down,-0.03978651087857274,linear,3.6012346022023203,-0.03978651087857272,nan,0.0,0.1663341257136557,0.5948302533095857,0.0011768481865839307,3.339173382301808
15,NLGN1,linear down,-0.061429765759886845,linear,2.480307802828863,-0.06142976575988685,nan,0.0,0.1638885666459201,0.5920440428541766,0.03081202524874291,2.0707420375564354
28,HDAC9,linear down,-0.062124934043270325,linear,2.1347152499927646,-0.06212493404327031,nan,0.0,0.15132053792069433,0.5823085120674794,0.0521557719054242,1.717364732317856
49,TNNI3K,linear down,-0.03668656594597847,linear,2.905461228708048,-0.03668656594597848,nan,0.0,0.09051798803506383,0.5669302404259278,0.011501016368888414,2.641197796445918
108,FBXL17,linear down,-0.0351822527482146,linear,2.067444554218173,-0.035182252748214606,nan,0.0,0.07775161183713686,0.5482232558378706,0.03354017331764202,1.8020828919503582
125,GABRB1,linear down,-0.056796927747702744,linear,1.0850618314272513,-0.056796927747702744,nan,0.0,0.08635879878745278,0.5439983023402306,0.32256338932277734,0.763499842124211
150,SAMD12,linear down,-0.04953664817563129,linear,1.4479262006343294,-0.04953664817563128,nan,0.0,0.07732636121160885,0.5389960966884895,0.16417032202845833,1.113969554192254
153,CTNND2,linear down,-0.0634775033133617,linear,1.5412572369593092,-0.0634775033133617,nan,0.0,0.0755587436198979,0.5387080419140584,0.22825505509789237,1.1392351833031988
175,PALLD,linear down,-0.022815582951228097,linear,3.4873028092180487,-0.022815582951228104,nan,8.992936039174561e-218,0.0497507955013643,0.5361529198529018,0.0010163688884133946,3.33443270899433
178,FRY,linear down,-0.023171337032687464,linear,2.2951680767396563,-0.02317133703268747,nan,1.0249343128393788e-206,0.03794906068843196,0.5359659566469874,0.016582860810955388,2.106892375048679
184,PAM,linear down,-0.022944486196272124,linear,2.3452387149630236,-0.022944486196272124,nan,4.645335903946115e-193,0.039156297366626514,0.5355489379849437,0.013854712742056274,2.169891567903071
200,TBC1D5,linear down,-0.03297567145440247,linear,1.800062669605944,-0.03297567145440247,nan,5.163249201750974e-296,0.05998603457309981,0.5341587709462996,0.0473948860596983,1.5512466058767518
214,LIMCH1,linear down,-0.021429173082419956,linear,2.279984926801165,-0.021429173082419945,nan,1.614117174380664e-177,0.030846336286908138,0.5320143860956245,0.01722477800363753,2.100490492512571
218,ANK2,linear down,-0.018349932650344764,linear,2.5250596642865117,-0.018349932650344746,nan,1.2019309053622835e-129,0.02239415975682768,0.5318264035950916,0.010324168182304482,2.371597912167005
243,AC022034.1,linear down,-0.04699984901435949,linear,1.4681831749992587,-0.04699984901435949,nan,2.7976810869415635e-245,0.056400731079587874,0.5293279734470053,0.16598908740772442,1.1702328664956672
259,BZW2,linear down,-0.04344766606146613,linear,1.1095434098727974,-0.043447666061466134,nan,2.5984374313457712e-256,0.05498709018634551,0.5278883274450495,0.22333368995399594,0.8382601648812453
265,MEIS2,linear down,-0.024567196693932425,linear,2.070905904585826,-0.024567196693932425,nan,6.321636074129762e-158,0.03183574823970603,0.5272777824492946,0.02685353589386969,1.8827449654525517
272,NCAM1,linear down,-0.021652183227664046,linear,2.17993249406721,-0.02165218322766405,nan,3.3261080077938524e-140,0.026382024532720427,0.526937597432001,0.01957847437680539,2.0071881749235048
293,THRB,linear down,-0.03143493313731978,linear,1.7595307035565828,-0.03143493313731978,nan,1.5072201319630618e-224,0.042395284692339,0.525183324029237,0.06547555365357868,1.5110863675216648
319,FAM227B,linear down,-0.03514637934095634,linear,0.888686924123876,-0.03514637934095634,nan,1.9757115030016707e-196,0.04529614213815192,0.5230406901351479,0.3237937306087515,0.6961735163523055
321,ZNF704,linear down,-0.03821683129647313,linear,1.1913558694813802,-0.03821683129647314,nan,4.8698631952379e-209,0.04514969805475899,0.5229200906219387,0.1940729645875682,0.9359702352803038
323,LNPK,linear down,-0.036038365158809905,linear,0.8393763938642056,-0.036038365158809905,nan,1.8677624854063207e-206,0.044872555017908655,0.5228241426984284,0.3162512035947363,0.6420126462544131
326,COMMD10,linear down,-0.030277246740792935,linear,1.628863104515439,-0.03027724674079294,nan,2.335505524988886e-228,0.04160282111416225,0.5227070963593143,0.07954423879319568,1.3851075254140368
353,CADM1,linear down,-0.0354376530284619,linear,1.3214858643106135,-0.0354376530284619,nan,8.947202362796625e-187,0.04004625445593757,0.5206936496382066,0.15962340858029314,1.0733466695816842
380,SSBP2,linear down,-0.032017561767296955,linear,1.2751848435219488,-0.03201756176729695,nan,4.180752310051109e-176,0.03800997339281109,0.5193939677165045,0.1491922541992083,1.0495608272611534
385,TRAK2,linear down,-0.0321923238943436,linear,1.2415295316088448,-0.0321923238943436,nan,6.666646264362539e-184,0.03808921610000948,0.5191712159929213,0.16882422167540387,1.0071875690119823
388,ATP1A2,linear down,-0.03874781231908053,linear,1.0524801428701251,-0.03874781231908053,nan,3.627610354302464e-176,0.03706885701851692,0.5190073746822871,0.24178880924360757,0.8204324191157591
392,MAGI1,linear down,-0.0052909866804389805,linear,2.447099509761433,-0.005290986680439,nan,4.312987739224099e-25,0.0009647099778228307,0.5187503286905535,0.007168075318283941,2.3862594669492885
393,SH3RF2,linear down,-0.037046468056440615,linear,0.9326741652033667,-0.037046468056440615,nan,2.4197974241199052e-147,0.0287627848030938,0.5187298859830372,0.2908954744837916,0.7428569423643949
