,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
2,RRAD,linear up quadratic down,-0.0351814592339501,linear_quadratic,-0.17458915185587062,0.3597383210589506,-0.02193998779405004,0.0,0.2456716843808957,0.6325457370195405,0.34412110837701937,0.8356967334604687
18,SGCD,linear up quadratic down,-0.06153820201209731,linear_quadratic,3.0358334884359994,0.078749103460665,-0.00779373919293124,0.0,0.11571890551616937,0.5883968728041613,0.0074355408152348345,3.0358388352139722
19,CTNNA3,linear up quadratic down,-0.04599091737432692,linear_quadratic,3.716788535537278,0.03357844181638436,-0.004420519955039518,0.0,0.13895821957326515,0.588193908464073,0.0010698619878035734,3.651423744795121
21,TTN-AS1,linear up quadratic down,-0.09037775190854543,linear_quadratic,2.2326052333173156,0.232011211752839,-0.017910497981188024,1.6076878376502187e-14,0.09581804368592717,0.5870561296283915,0.058360971434684925,2.5281443245522626
24,ANKRD1,linear up quadratic down,-0.03740056254124303,linear_quadratic,0.21396571796403818,0.3576965619403022,-0.021949840248974735,2.4167624436852524e-182,0.09020009678578056,0.5851215148954132,0.26570022467101745,1.2641701334604685
25,SLC8A1-AS1,linear up quadratic down,-0.09373239469948816,linear_quadratic,0.9353650505524803,0.32978575585367903,-0.023528786141842624,7.694314148333983e-25,0.1475567461483417,0.5845899123861602,0.11533112228522521,1.5905639484599337
27,MYBPC3,linear up quadratic down,0.018512897220092223,linear_quadratic,2.7421171308336407,0.11136915481537239,-0.005158680977515566,0.0,0.13105568179318627,0.5834084484300232,0.002567668770728576,3.099795995062052
30,SLC8A1,linear up quadratic down,-0.06621961044821237,linear_quadratic,3.6184412703642566,0.1702021243074881,-0.013134540819761136,3.116875535579336e-41,0.14411959518245332,0.5794137394509287,0.000481437894511608,3.9273257421686107
31,TNNI3,linear up quadratic down,-0.01979913207843352,linear_quadratic,0.5273801745156309,0.3049111945369127,-0.018039462589741456,1.580299481613316e-309,0.13691363137975487,0.5763890536010259,0.1552369744302985,1.3664621937637744
34,PALMD,linear up quadratic down,-0.06126563915356206,linear_quadratic,0.7297134829022051,0.2527620044487968,-0.017445980200131047,6.906446748592038e-50,0.14472931226327057,0.5746255431889605,0.12068043222424307,1.2639652851433614
41,DPF3,linear up quadratic down,0.002501327066114417,linear_quadratic,1.361384282564814,0.17167325698507283,-0.009398440551053247,2.7970067206706852e-278,0.12533604409000265,0.5727091558289794,0.03835455226275811,1.8326549568546053
45,EIF1B,linear up quadratic down,-0.011597127177926393,linear_quadratic,-0.03614460286584723,0.17368809136105146,-0.010293623252165436,0.0,0.13736999864363353,0.5694963123278818,0.4585428479726115,0.48552057702257406
46,HOOK2,linear up quadratic down,-0.02668237625048228,linear_quadratic,0.7015872651124309,0.20480726779155578,-0.012860535780113225,5.260724269592902e-152,0.13468618422113032,0.568076167203723,0.11501016368888413,1.1940660263613994
47,PLN,linear up quadratic down,-0.052265129987828736,linear_quadratic,0.43747368899503764,0.2500961687436786,-0.016797849929528187,5.791346978329738e-73,0.1333945372966292,0.567592488082703,0.18915159944367177,1.01338151201562
51,MIR1-1HG,linear up quadratic down,0.012660719620220619,linear_quadratic,0.10953046030385845,0.16687002504673246,-0.008567183634806214,0.0,0.11577669324625739,0.5663892698065593,0.35123569059591314,0.677867011417567
52,PPP1R3C,linear up quadratic down,-0.04107879730064634,linear_quadratic,-0.08776193755596638,0.18354201015452667,-0.012478933747509613,4.392106749633315e-84,0.12135858737092342,0.5662652497040068,0.5523697443029849,0.42944645113405366
53,CSRP3,linear up quadratic down,-0.047060737429911084,linear_quadratic,0.13318674029556654,0.26170511632812415,-0.01715365854211307,3.909519631021287e-117,0.12708951425564252,0.5658290819832894,0.3034128597410934,0.7970847221525623
54,AC092353.2,linear up quadratic down,-0.07300560334945176,linear_quadratic,2.4253234066898592,0.1374010228259135,-0.011689257009742514,1.1969493409496378e-108,0.05997453932532182,0.5650785423549235,0.03530544559751792,2.553997595109126
59,PLCL2,linear up quadratic down,-0.0455960413411327,linear_quadratic,1.4770957977197108,0.1807585649975942,-0.01257525590770705,4.685263691840487e-13,0.10768167196893175,0.5626746446063235,0.03455654220605542,1.8463899742778431
60,PSD3,linear up quadratic down,-0.07178166432684843,linear_quadratic,2.425373105058791,0.16219003386335,-0.012998427677233249,2.354202182866294e-25,0.09471372834852299,0.5615840144538575,0.00599122713170001,2.653943888431582
66,RILPL1,linear up quadratic down,0.004365729384979561,linear_quadratic,0.45522298145823564,0.1830281644254849,-0.00992569083558363,0.0,0.11949783794134494,0.5605019304388161,0.1765272279875896,1.0025192159275704
67,B4GALT1,linear up quadratic down,-0.004664523147452715,linear_quadratic,0.09523817109062944,0.1806758968419464,-0.010296689999411062,3.85841283513e-312,0.11832976154123775,0.5603487766009827,0.35952712100139084,0.6424902446683427
71,DTNA,linear up quadratic down,-0.048916957784309975,linear_quadratic,2.4527500818967995,0.0454683056450753,-0.00524362574607696,4.74450137467086e-194,0.08382510698308043,0.558243156901971,0.009735744089012517,2.420183976874398
83,AC107068.2,linear up quadratic down,-0.0982286010871222,linear_quadratic,0.7306038231202352,0.24941098459805044,-0.019313310315842925,9.084939512625941e-05,0.06440472979238976,0.5557041865928719,0.28543917834599336,1.267465290806676
85,PDZRN3,linear up quadratic down,-0.04712229395469292,linear_quadratic,2.4238120834651498,0.0343899478675608,-0.004528457879014094,3.675853959807238e-262,0.07145815068905226,0.5548262624073828,0.014764095431689312,2.3380474272707823
87,PLIN5,linear up quadratic down,-0.048936012726137755,linear_quadratic,0.5331655191277137,0.23733727373543811,-0.015904071470087548,7.402309240408109e-91,0.09496244593492775,0.5542199187251111,0.1606932705680967,1.0935381848373809
89,GRAMD4,linear up quadratic down,0.028051689363155802,linear_quadratic,0.1092887908672122,0.08800043473999022,-0.0033304858542685793,0.0,0.10151208418353685,0.5535604473836994,0.442227452658607,0.49915502040494275
90,AC018464.1,linear up quadratic down,-0.07603294409597823,linear_quadratic,0.5616446622378054,0.20563037061926304,-0.015647961928624516,0.00098044266665475,0.10408168096684411,0.5534151137744754,0.21103027709425484,0.9348291559757141
94,PCDH9,linear up quadratic down,-0.07631797277834082,linear_quadratic,1.9540537970128042,0.1484414408348519,-0.012486634089621815,5.156710980182821e-50,0.0683405509709083,0.5520710005721137,0.031186476944474163,2.1239944483759494
95,ERBB4,linear up quadratic down,-0.07534520886626406,linear_quadratic,1.9519503156154803,0.0999836765961843,-0.009740493636802688,1.1358426578012331e-181,0.07387907586171338,0.5519908881363105,0.03921044185300096,1.9685183026233017
97,AP005329.2,linear up quadratic down,-0.07737539972736177,linear_quadratic,0.7562641736715984,0.06369000016334256,-0.007836966660594684,3.35571137947801e-242,0.09440240681722689,0.5503518973529897,0.3320851610142292,0.7434369689766771
98,CPVL,linear up quadratic down,-0.06618732443704743,linear_quadratic,0.44041243614253545,0.22581159108282217,-0.01622216197332609,1.0756459246009878e-05,0.09862221341397337,0.5503370046169365,0.2419492885417781,0.9186713093826898
101,AKAP6,linear up quadratic down,-0.02210179486742267,linear_quadratic,2.549273949296348,0.10567213929623162,-0.007098551897980793,6.863307811751766e-06,0.05526191091498167,0.5494759421363413,0.005188830640847331,2.77580827863967
103,NRAP,linear up quadratic down,-0.026460922098129766,linear_quadratic,0.8910773715572068,0.2226743980171942,-0.013840851117517998,1.2745964870048856e-86,0.08830618837694715,0.5490373645872237,0.10046004065475554,1.470337129068685
105,RFX2,linear up quadratic down,-0.014241456157812717,linear_quadratic,-0.0921505604737467,0.1246726920025424,-0.007717452675575285,1.6631279957414703e-243,0.0928607474668327,0.5486090161477183,0.6114261260297421,0.33048180325559
107,PLCL1,linear up quadratic down,-0.06271817876044498,linear_quadratic,2.366071417825205,0.12522625869473547,-0.010441357636398913,6.080434393636336e-35,0.06135130372181363,0.5484691798892924,0.009254306194500909,2.5327069386391354
112,MYOM1,linear up quadratic down,-0.04379430574953408,linear_quadratic,2.9931977835365755,0.027522142016980413,-0.003962024875917471,5.37038825437659e-215,0.06190023083658447,0.5477271692847154,0.004600406547555365,2.9226522754242
113,MYH7B,linear up quadratic down,0.006752515996273301,linear_quadratic,0.8775645513228366,0.14357084154009495,-0.0076010180857678696,1.919357585043798e-242,0.0920783043919362,0.5474825176857732,0.0965550443992725,1.2837307219894085
114,LINC00513,linear up quadratic down,-0.03531745316713211,linear_quadratic,0.15514724114711667,0.17797623009240607,-0.011849649069974344,1.0481673799684745e-75,0.08645301261782334,0.5474444047306375,0.3896437359580614,0.6487195665143896
115,MYOZ2,linear up quadratic down,-0.045632789271117455,linear_quadratic,2.036230701626004,0.08236224776573314,-0.007110835390936144,5.489594313692149e-81,0.05889298583978775,0.5472251051230579,0.02605113940301701,2.0897764939087407
122,KLHL31,linear up quadratic down,-0.050623674189012854,linear_quadratic,0.7398070076777971,0.1847733623479767,-0.013077613140943864,6.469664631230552e-13,0.08916875187472362,0.544860881857109,0.15127848507542527,1.1108843407965123
