,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
76,PDLIM3,linear up,0.08295603144698885,linear,0.5924345904022071,0.08295603144698885,nan,0.0,0.10155165813589273,0.5571788123031691,0.2312506686637424,1.0644622015866054
189,GTF2IRD1,linear up,0.045805547565686965,linear,0.702519520714447,0.04580554756568696,nan,5.693255915134617e-298,0.06878527371007948,0.5351568413114324,0.18920509254306195,0.9530074359339894
247,LARGE1,linear up,0.02146942430181889,linear,2.512595272584024,0.021469424301818894,nan,6.347386476077302e-96,0.01816176507862921,0.5290974744676671,0.005777254734139296,2.6027917024831497
274,TNNT1,linear up,0.030257403197120315,linear,0.09241964752309972,0.03025740319712032,nan,0.0,0.043011089996381924,0.5268751935724134,0.5839841660425805,0.37260895595164223
278,SLC27A1,linear up,0.032595085024204204,linear,0.3644344553764587,0.032595085024204204,nan,1.6372733160555693e-223,0.04933481504780357,0.5262927999070415,0.35824328661602656,0.5889744048486144
282,OBSCN,linear up,0.027036107168506518,linear,1.6396274110691806,0.02703610716850653,nan,8.332570249186983e-158,0.033274554481176555,0.5259593136518681,0.03011661495667059,1.7598090238445492
285,CIRBP,linear up,0.026351133469320935,linear,0.21062621288585717,0.02635113346932093,nan,4.418421826435688e-253,0.04937037793319554,0.5258068459226617,0.4806889911201455,0.4139592841109447
313,TACC2,linear up,0.024215551012230718,linear,1.9274170671981257,0.02421555101223071,nan,3.982189709673218e-99,0.018278133888416148,0.5234638044416402,0.015780464320102706,2.031478062280946
339,RAMP1,linear up,0.035267713602283174,linear,0.811950306318963,0.03526771360228317,nan,5.916568052870317e-195,0.04264290467751419,0.5216988302247352,0.1602118326735851,0.9854063138188723
360,MROH1,linear up,0.025097602886996372,linear,0.2882761179256081,0.025097602886996372,nan,5.047676863612535e-194,0.03765088473039935,0.5201753421715266,0.42842623301594096,0.4825961326323954
391,CSDC2,linear up,0.03347920324568604,linear,0.6275535531783907,0.03347920324568604,nan,1.02142432829885e-150,0.035096490758791066,0.518842933144987,0.2563389322777362,0.8372521961313791
457,FOXK2,linear up,0.029635642330527054,linear,0.48224844897118924,0.029635642330527054,nan,5.469621184641714e-140,0.03091201104713248,0.5161387374430825,0.2973681395100032,0.6707899376901679
523,CASZ1,linear up,0.02763543901052408,linear,0.8574781315304206,0.02763543901052408,nan,4.644337731698433e-121,0.02516042281155051,0.5131496318881512,0.1542206055418851,0.9862562118364181
564,SRL,linear up,0.02479159670106272,linear,1.2972360521761486,0.02479159670106272,nan,1.0143211162500649e-111,0.020280475214631055,0.5121303580071466,0.06424521236760458,1.3962491722108699
603,MYPN,linear up,0.025871991434827726,linear,1.3752584901587093,0.025871991434827737,nan,7.763804400786724e-79,0.013551467514407278,0.5111080362634668,0.06964801540601262,1.483558376883492
616,UBE2G2,linear up,0.01815241459148824,linear,0.42803959258845065,0.01815241459148824,nan,2.8433283822926377e-97,0.0200169923732314,0.5107729342231198,0.34733069434043007,0.5633335635835027
677,ACADVL,linear up,0.015197524134067636,linear,0.3023046125251512,0.01519752413406763,nan,6.19283529324408e-122,0.014142400448379888,0.5093669977224865,0.45875682037017224,0.4485284038729004
685,ABR,linear up,0.022335899457844505,linear,0.7116870658173101,0.022335899457844508,nan,7.330785272223145e-79,0.017368639152093968,0.5092227117578865,0.2144003423558361,0.8258724515422061
720,PHF20,linear up,0.01882415544470526,linear,0.4754726079908206,0.018824155444705257,nan,6.708638535091609e-82,0.016082521383684933,0.5086766360766954,0.3299989301380122,0.6175742060506045
753,ACTN1,linear up,0.014009661182743216,linear,0.3026192052055012,0.014009661182743216,nan,9.009905207877257e-151,0.0032274686072044645,0.5080650920747793,0.48229378410185086,0.4751642516540066
761,MRTFA,linear up,0.016972793316856666,linear,0.5702382993201494,0.016972793316856662,nan,5.903442984036235e-61,0.01178000764291609,0.507933775725897,0.2896651331978175,0.6996571101075212
773,GYS1,linear up,0.015535487646132645,linear,0.31211263461123334,0.015535487646132641,nan,4.262937856684757e-107,0.012545572525745952,0.5077829225495345,0.44645340751043117,0.457977151372098
791,KLC1,linear up,0.015637431044081065,linear,0.4896500822573627,0.015637431044081065,nan,3.5586891817374427e-68,0.012835582847250504,0.5074387665588165,0.3182839413715631,0.6119371754386435
809,PHACTR4,linear up,0.0206845898652536,linear,0.7465833360557503,0.0206845898652536,nan,5.754464962437579e-71,0.013462218450330132,0.5071089329535545,0.21557719054242003,0.8368503299251098
844,HNRNPH1,linear up,0.013481485734970176,linear,0.3360260231853904,0.013481485734970173,nan,4.6745660939999597e-88,0.010729730496509826,0.5064799959088719,0.42751685032630793,0.4619128779014657
850,MYH9,linear up,0.012542992875543911,linear,0.7350363701950021,0.012542992875543911,nan,1.8910698551055926e-38,0.00896423603695895,0.5064136867909235,0.2376698405905638,0.8058677707039691
867,CERS4,linear up,0.016365768819746534,linear,0.23283620319974463,0.016365768819746537,nan,7.420742852341437e-132,0.009739202316555451,0.5061419357630169,0.5136407403444956,0.3978735148646625
881,PRDM16,linear up,0.0180003375780059,linear,1.017400982238212,0.01800033757800589,nan,1.2883656764780775e-55,0.010435641496729375,0.5059675166512521,0.1261367283620413,1.091458043782497
888,ADCY9,linear up,0.018962009661954382,linear,0.6349048395008825,0.018962009661954382,nan,3.177647777806291e-49,0.010609175429065698,0.5058792350599056,0.2627046111051674,0.7530750297079277
905,GSN,linear up,0.014281585050340564,linear,0.4671868467427573,0.014281585050340564,nan,8.232113543087474e-60,0.008501388771340657,0.5055335298951998,0.331443243821547,0.5903679475024072
910,PPARA,linear up,0.016871952377773655,linear,0.7121009333556676,0.016871952377773655,nan,1.7135041777591222e-48,0.01000192117121479,0.5055022346134395,0.23740237509361292,0.7915971555493742
911,TNNC1,linear up,0.013025733696294662,linear,0.3830710619755627,0.013025733696294664,nan,5.024770080793643e-69,0.0037280923631353158,0.5054862326276135,0.4024820798117043,0.5173209740574516
938,VMP1,linear up,0.01423162129310837,linear,0.7476474665297859,0.014231621293108374,nan,1.8596791261650836e-43,0.008124175643475673,0.5051087908295346,0.2254199208302129,0.80541724972879
939,SFMBT2,linear up,0.015543140668545834,linear,0.7901741658093138,0.015543140668545842,nan,2.282847710434658e-43,0.008582937928256151,0.5051031063632359,0.21552369744302985,0.8578566780041725
946,ZNF44,linear up,0.014127856087587431,linear,0.5032665938426506,0.014127856087587426,nan,3.651093272320757e-51,0.009055762452662597,0.5049900748399612,0.3191398309618059,0.6147980366780785
950,SPG7,linear up,0.012019922648171567,linear,0.39338114286988674,0.01201992264817157,nan,4.165048669871127e-64,0.007419014486454545,0.5049360688523229,0.3918369530330587,0.5060772259949717
953,RREB1,linear up,0.02292292496191306,linear,0.5993329242477273,0.022922924961913057,nan,9.46446589437648e-51,0.008144638507590507,0.5049059325039871,0.2666096073606505,0.7487241429603082
955,PRRC2B,linear up,0.013604500466716442,linear,0.6580807321686166,0.013604500466716445,nan,5.591748897370726e-36,0.008176115621952085,0.5048861669006027,0.2522199636246924,0.732550830101102
961,SRRM1,linear up,0.012532000780314821,linear,0.3517432337865142,0.012532000780314821,nan,5.83151806246553e-74,0.008355540176349985,0.504810187000178,0.41992083021290255,0.46994829225259444
986,PTP4A2,linear up,0.014012769786641344,linear,0.27966098818162966,0.014012769786641342,nan,3.6720106722525664e-93,0.006805890155925143,0.5044866613801112,0.47961912913234195,0.4196999957719054
988,ZNRF1,linear up,0.014200972184467336,linear,0.6384605367258714,0.014200972184467336,nan,1.3198710794822e-33,0.007350455551002888,0.5044661160229713,0.2684818658393067,0.7293091246603188
993,HP1BP3,linear up,0.01156859675321207,linear,0.5017420808456232,0.011568596753212075,nan,4.076468890665273e-46,0.006600303434874277,0.5044360426622299,0.32491708569594524,0.6030074734433508
996,ABL1,linear up,0.01565260176154242,linear,0.6500933857776562,0.01565260176154242,nan,1.8554569190133068e-35,0.007635041999783709,0.5043951344781294,0.2661281694661389,0.748023419139831
998,GRIK2,linear up,0.010975177415917463,linear,0.6276421857112274,0.01097517741591746,nan,3.5255565997217044e-28,-0.002475390265660904,0.5043740184347036,0.3830640847330694,0.7608538718738633
1008,GLYR1,linear up,0.0150979179134485,linear,0.5604945042935472,0.015097917913448501,nan,2.1730841683854363e-39,0.0076135052558513605,0.5042551956156842,0.2846367818551407,0.6660898005739809
1049,UBE2K,linear up,0.01609394705539647,linear,0.7774925782537246,0.016093947055396473,nan,2.4745268155255683e-45,0.006827773769852108,0.5037924571428627,0.20819514282657536,0.8385554357162726
1060,ZNF544,linear up,0.012424174291791844,linear,0.5373851708772888,0.012424174291791847,nan,1.6077208726005358e-37,0.006144070882040942,0.5036494928742388,0.307478335294747,0.6371542092206056
1072,SMG6,linear up,0.013598131507627502,linear,0.7475770755603762,0.013598131507627498,nan,1.0469460787139118e-35,0.0061550449934307805,0.5034982521004523,0.22654327591740667,0.8018589758104204
1085,GABPB2,linear up,0.012752631930078386,linear,0.36134847581345136,0.012752631930078383,nan,9.487495210020045e-66,0.004383215559333631,0.5033699267621634,0.4286402054135017,0.48909477601369433
