,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
36,FGF12,quadratic down,-0.045757508820997966,quadratic,4.135283813086013,-0.002542083823388777,nan,0.0,0.07411842172866678,0.5738846885890756,0.0026211618701187547,3.9331721992029522
42,INPP4B,quadratic down,-0.06213696417623886,quadratic,2.262185470285685,-0.0034520535653466034,nan,0.0,0.11731117823637716,0.5717798382751376,0.03707071787739381,2.013954990600192
43,PCDH7,quadratic down,-0.09275061329518945,quadratic,2.456417068444388,-0.005152811849732747,nan,0.0,0.08756100293469382,0.5713571285975625,0.10062051995292608,2.0677367216636355
44,TECRL,quadratic down,-0.05269702418988423,quadratic,3.126143211966457,-0.0029276124549935684,nan,0.0,0.11237955973978164,0.5700902454457822,0.0035840376591419706,2.939060780458971
56,SPHKAP,quadratic down,-0.06311084426873623,quadratic,2.155102587252131,-0.00350615801492979,nan,0.0,0.10826194412744283,0.5640794850189557,0.03680325238044292,1.919653233404301
64,ZBTB20,quadratic down,-0.03098855034971204,quadratic,2.8887117772990494,-0.0017215861305395579,nan,0.0,0.08060068101292894,0.5607100738932498,0.0040654755536535785,2.764282529878036
65,LAMA2,quadratic down,-0.03521326181642409,quadratic,3.765451297989457,-0.0019562923231346728,nan,0.0,0.09678073636198403,0.5606013723242252,0.0007489033914625013,3.6439307490617314
77,CD36,quadratic down,-0.0489263418600519,quadratic,2.7674852669522916,-0.002718130103336217,nan,0.0,0.08217813665521179,0.5569724085898475,0.008505402803038409,2.587043145730716
78,TRDN-AS1,quadratic down,-0.042868918924918634,quadratic,2.659014342509916,-0.002381606606939924,nan,2.380750927684867e-293,0.06833001798524296,0.5567241926895687,0.018348133090831283,2.479487757181449
110,ZFPM2,quadratic down,-0.039065050827248746,quadratic,2.30047351959542,-0.0021702806015138198,nan,7.204013207413332e-291,0.06697615630324982,0.5481537475214522,0.015085054028030384,2.140720415945223
111,FILIP1,quadratic down,-0.0317403664528034,quadratic,2.51538140863598,-0.0017633536918224117,nan,7.620912374953852e-269,0.05555840325667227,0.5478894847905857,0.009040333796940195,2.379366202939981
117,AC009264.1,quadratic down,-0.09585336999910866,quadratic,1.630658300582476,-0.005325187222172703,nan,0.0,0.08462821634178852,0.5467980184688843,0.1810206483363646,1.3018476257708356
119,VWA8,quadratic down,-0.03932671762502421,quadratic,2.048183322919049,-0.0021848176458346786,nan,8.094130305296652e-308,0.06813667228113662,0.5460114954929802,0.0273349737883813,1.8779190927923397
141,LINC02208,quadratic down,-0.024351697031852693,quadratic,2.472025065920336,-0.00135287205732515,nan,7.6458312948258e-40,-0.00630241789335928,0.5407582227417831,0.08435861773831176,2.266549608081202
148,EXOC6B,quadratic down,-0.03562703907299611,quadratic,2.7580738830308893,-0.0019792799484997844,nan,3.06168316886902e-235,0.05015399071779625,0.5393983924498988,0.0040654755536535785,2.614874641867979
202,AL136171.2,quadratic down,-0.03276654506463181,quadratic,2.1494505350505464,-0.0018203636147017669,nan,5.1556346979838455e-180,0.033915426807897386,0.5340587840133543,0.040226810741414355,1.9833018545827539
204,QKI,quadratic down,-0.019312800018382065,quadratic,2.6600970995881155,-0.0010729333343545589,nan,3.994258377170121e-142,0.027006042146931142,0.5339461038041621,0.0054562961377982245,2.5642955637691234
207,FHIT,quadratic down,-0.02450441111143245,quadratic,2.443256224311969,-0.0013613561728573575,nan,1.4111862336136186e-144,0.023587980730207625,0.5335479841014701,0.014122178239007167,2.3131022088006845
219,TRIQK,quadratic down,-0.06133009361389942,quadratic,1.1638217700325106,-0.003407227422994412,nan,2.0294627322979964e-251,0.06124540671406231,0.531746998381301,0.2043436396704825,0.974826778659463
222,CAMK2D,quadratic down,-0.020921357303217286,quadratic,2.5315282920714424,-0.0011622976279565154,nan,1.5476988849945783e-126,0.02292157706531639,0.5315873238697891,0.008077458007916979,2.4298504726372094
232,CPED1,quadratic down,-0.0388817197253684,quadratic,1.7383534796202151,-0.0021600955402982444,nan,1.6695845660314786e-245,0.05167676473783711,0.5305662164461697,0.06173103669626618,1.5615587237033275
267,TRDN,quadratic down,-0.014182404190547976,quadratic,2.5041299436333473,-0.0007879113439193321,nan,1.1854383473714554e-77,0.00952810748749422,0.5272192962271139,0.009040333796940195,2.417687793780892
275,MIR99AHG,quadratic down,-0.031813521975994116,quadratic,1.8744705334143068,-0.001767417887555229,nan,3.7258376871216277e-183,0.03543708583670091,0.5266801597683761,0.04060126243714561,1.7204628590932918
287,CCSER1,quadratic down,-0.016871484578632162,quadratic,2.3646254205788457,-0.0009373046988128979,nan,1.0226312823712904e-53,0.001637454081698353,0.5255950219092285,0.017759708997539318,2.250851913077458
298,TMEM65,quadratic down,-0.036035352398858245,quadratic,1.7049126673703263,-0.002001964022158791,nan,1.6403011200208954e-191,0.04056579702074703,0.5245462911018726,0.0569166577511501,1.543233228704932
301,XIRP2,quadratic down,-0.06099701676786375,quadratic,1.0450546080673082,-0.003388723153770208,nan,2.9220402731159536e-208,0.0423222922245996,0.5244769800877128,0.2480475018722585,0.868870011829999
303,CACNA2D1,quadratic down,-0.025705215619223315,quadratic,1.9321691618207548,-0.0014280675344012957,nan,3.143781922892893e-144,0.027267398911189344,0.5243972267570262,0.03086551834813309,1.8037087763276989
315,TRPM7,quadratic down,-0.028681952435698724,quadratic,1.9239488577106614,-0.001593441801983262,nan,9.421951435704984e-144,0.027922966488767575,0.5232903583892681,0.03006312185728041,1.7946208551572698
317,ANO5,quadratic down,-0.04598652569692468,quadratic,1.3638237089404852,-0.002554806983162482,nan,4.315409058251507e-210,0.04470194113541648,0.5231492950099321,0.1228736492992404,1.1828924100786347
327,TMEM182,quadratic down,-0.052168714757894266,quadratic,1.121523928555414,-0.0028982619309941256,nan,9.086374314078714e-201,0.043844097898557255,0.5226158758770556,0.18974002353696373,0.941700969053707
342,NBEA,quadratic down,-0.037720901083400496,quadratic,1.630332170326471,-0.0020956056157444723,nan,4.750639485356752e-188,0.036143276358951204,0.521529197988355,0.07365999786027602,1.4556261420487857
354,PBX1,quadratic down,-0.026427817183172872,quadratic,1.9494516920506657,-0.0014682120657318267,nan,1.956894499006665e-116,0.020371111028395283,0.5206181491203512,0.031988873435326845,1.8211738722777364
374,NEXN,quadratic down,-0.024138781979327922,quadratic,2.8014104407337603,-0.0013410434432959957,nan,5.7701776210984545e-61,0.0034473600062933096,0.5196244311548714,0.004653899646945544,2.6644600720808818
390,MAP3K20,quadratic down,-0.030431988387909156,quadratic,1.6691246072515225,-0.0016906660215505087,nan,1.2036955185105838e-151,0.02992582638826402,0.5189227553760993,0.05488391997432331,1.5232745066732643
