,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance,sampleID,Time_score
0,28.69,805.53,9.41,VALIGA_mhnhhiaij6,591
1,11.93,302.36,0.34,VALIGA_mhnhhiaij6,591
2,28.61,1601.05,2.9,VALIGA_mhnhhiaij6,591
3,38.93,1383.63,7.08,VALIGA_mhnhhiaij6,591
4,40.43,1690.65,8.35,VALIGA_mhnhhiaij6,591
5,41.01,3348.89,2.05,VALIGA_mhnhhiaij6,591
6,26.34,899.34,27.72,VALIGA_mhnhhiaij6,591
7,35.07,2510.05,8.43,VALIGA_mhnhhiaij6,591
8,33.86,3654.32,5.58,VALIGA_mhnhhiaij6,591
9,18.7,338.18,8.43,VALIGA_mhnhhiaij6,591
10,40.13,1893.62,3.37,VALIGA_mhnhhiaij6,591
11,44.67,2312.99,16.31,VALIGA_mhnhhiaij6,591
12,68.28,12133.03,1.51,VALIGA_mhnhhiaij6,591
13,41.84,2334.82,5.89,VALIGA_mhnhhiaij6,591
14,44.34,4441.88,2.38,VALIGA_mhnhhiaij6,591
15,15.38,508.17,2.38,VALIGA_mhnhhiaij6,591
16,53.89,3204.25,1.69,VALIGA_mhnhhiaij6,591
17,33.38,1979.81,3.37,VALIGA_mhnhhiaij6,591
18,45.85,1947.29,2.88,VALIGA_mhnhhiaij6,591
19,17.96,383.89,1.39,VALIGA_mhnhhiaij6,591
20,14.73,227.31,5.49,VALIGA_mhnhhiaij6,591
21,31.99,1500.18,0.48,VALIGA_mhnhhiaij6,591
22,53.83,3360.03,1.07,VALIGA_mhnhhiaij6,591
23,64.86,8430.73,1.69,VALIGA_mhnhhiaij6,591
24,19.32,672.71,1.07,VALIGA_mhnhhiaij6,591
25,10.32,262.1,1.01,VALIGA_mhnhhiaij6,591
26,31.07,3729.82,1.07,VALIGA_mhnhhiaij6,591
27,18.65,355.57,6.3,VALIGA_mhnhhiaij6,591
28,36.51,3056.65,2.88,VALIGA_mhnhhiaij6,591
29,75.28,7946.89,2.7,VALIGA_mhnhhiaij6,591
30,13.57,211.39,1.07,VALIGA_mhnhhiaij6,591
31,30.05,769.37,5.33,VALIGA_mhnhhiaij6,591
32,41.41,5746.36,2.88,VALIGA_mhnhhiaij6,591
33,28.37,1022.26,11.31,VALIGA_mhnhhiaij6,591
34,33.48,5019.75,1.51,VALIGA_mhnhhiaij6,591
35,39.14,1346.67,4.54,VALIGA_mhnhhiaij6,591
36,43.25,2732.81,3.18,VALIGA_mhnhhiaij6,591
37,40.61,3914.37,8.45,VALIGA_mhnhhiaij6,591
38,18.21,326.8,5.97,VALIGA_mhnhhiaij6,591
39,32.94,1169.29,2.7,VALIGA_mhnhhiaij6,591
40,37.39,4305.08,8.45,VALIGA_mhnhhiaij6,591
41,13.89,183.76,8.77,VALIGA_mhnhhiaij6,591
42,69.96,5495.86,3.03,VALIGA_mhnhhiaij6,591
43,34.4,1534.75,12.8,VALIGA_mhnhhiaij6,591
44,39.12,1477.21,6.0,VALIGA_mhnhhiaij6,591
45,14.43,221.28,6.68,VALIGA_mhnhhiaij6,591
46,38.35,1330.53,6.48,VALIGA_mhnhhiaij6,591
47,25.85,1787.08,7.02,VALIGA_mhnhhiaij6,591
48,56.67,7201.29,2.72,VALIGA_mhnhhiaij6,591
49,26.98,1597.07,3.03,VALIGA_mhnhhiaij6,591
50,24.96,748.22,16.74,VALIGA_mhnhhiaij6,591
51,15.39,413.0,6.0,VALIGA_mhnhhiaij6,591
52,12.88,178.75,24.63,VALIGA_mhnhhiaij6,591
53,21.84,561.84,13.22,VALIGA_mhnhhiaij6,591
54,29.63,798.93,1.69,VALIGA_mhnhhiaij6,591
55,18.99,459.39,5.65,VALIGA_mhnhhiaij6,591
56,15.26,542.97,0.34,VALIGA_mhnhhiaij6,591
57,23.38,1300.28,6.2,VALIGA_mhnhhiaij6,591
58,22.93,799.27,16.59,VALIGA_mhnhhiaij6,591
59,27.39,634.51,6.94,VALIGA_mhnhhiaij6,591
60,87.02,9432.29,2.38,VALIGA_mhnhhiaij6,591
61,24.37,1016.23,7.02,VALIGA_mhnhhiaij6,591
62,21.59,611.88,3.58,VALIGA_mhnhhiaij6,591
63,24.7,607.78,6.2,VALIGA_mhnhhiaij6,591
64,22.18,490.89,6.4,VALIGA_mhnhhiaij6,591
65,12.44,577.19,41.06,VALIGA_mhnhhiaij6,591
66,71.76,15644.87,2.38,VALIGA_mhnhhiaij6,591
67,15.26,324.76,31.36,VALIGA_mhnhhiaij6,591
68,24.21,505.22,14.29,VALIGA_mhnhhiaij6,591
69,26.19,1196.12,6.42,VALIGA_mhnhhiaij6,591
70,23.69,1042.38,3.58,VALIGA_mhnhhiaij6,591
71,57.37,4191.37,7.24,VALIGA_mhnhhiaij6,591
72,27.66,943.57,6.4,VALIGA_mhnhhiaij6,591
73,13.44,189.56,17.92,VALIGA_mhnhhiaij6,591
74,19.64,532.73,17.87,VALIGA_mhnhhiaij6,591
75,25.04,885.01,9.66,VALIGA_mhnhhiaij6,591
76,52.38,4174.43,2.45,VALIGA_mhnhhiaij6,591
77,20.29,715.47,27.68,VALIGA_mhnhhiaij6,591
78,17.59,561.62,49.97,VALIGA_mhnhhiaij6,591
79,30.35,1255.48,25.99,VALIGA_mhnhhiaij6,591
80,23.21,771.19,22.21,VALIGA_mhnhhiaij6,591
81,42.87,1752.39,7.24,VALIGA_mhnhhiaij6,591
82,39.61,2800.58,5.82,VALIGA_mhnhhiaij6,591
83,23.92,1154.62,31.03,VALIGA_mhnhhiaij6,591
84,28.17,3167.86,18.7,VALIGA_mhnhhiaij6,591
85,12.54,353.19,32.28,VALIGA_mhnhhiaij6,591
86,22.62,782.67,26.31,VALIGA_mhnhhiaij6,591
87,54.62,3160.47,2.63,VALIGA_mhnhhiaij6,591
88,12.67,217.98,6.44,VALIGA_mhnhhiaij6,591
89,18.16,1169.06,2.88,VALIGA_mhnhhiaij6,591
90,44.38,2072.6,24.97,VALIGA_mhnhhiaij6,591
91,59.12,4055.37,1.69,VALIGA_mhnhhiaij6,591
92,24.13,596.53,15.83,VALIGA_mhnhhiaij6,591
