,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
19,ABCA8,linear down quadratic down,-0.12160843779682944,linear_quadratic,2.4517912066445637,-0.052267523758257564,-0.0033019482875510423,0.0,0.18132516771276364,0.6153093760844665,0.43858705397166936,1.3577660059386767
20,PRKG1,linear down quadratic down,-0.059267109682417086,linear_quadratic,3.3014801467644896,-0.03640034560319537,-0.0010888935275819868,0.0,0.0897958126200803,0.6128249361532369,0.1178052716514255,2.527114463268782
21,SGCD,linear down quadratic down,-0.12177401233364149,linear_quadratic,2.5058500748642154,-0.07283155047189417,-0.002330593421987968,0.0,0.17813071351058818,0.6119301806224378,0.41420118343195267,1.3373089767168729
22,SCN7A,linear down quadratic down,-0.12088814654277041,linear_quadratic,2.400531460005507,-0.08983092371346324,-0.0014789153728241506,0.0,0.1648830861865137,0.6116339885331199,0.4847588309126771,1.2119201657835754
32,PCDH9,linear down quadratic down,-0.10116369329146246,linear_quadratic,2.602902958684274,-0.028001258825646292,-0.00348392545075315,0.0,0.13290054536350016,0.5936128715945883,0.29756141294602834,1.6970622401120676
57,PLEKHA5,linear down quadratic down,-0.08660951716303164,linear_quadratic,2.48159241176131,-0.03399092393097073,-0.002505647296764805,2.5965711107182214e-293,0.10237974151531581,0.5740029441663217,0.2887753272368657,1.6476776946494531
61,PDGFD,linear down quadratic down,-0.07914214682083215,linear_quadratic,1.8335461496839522,-0.04264757994296425,-0.0017378365179937089,6.0138811130731775e-238,0.09261270936060106,0.5731671297072125,0.49381387842926305,1.1691637223345883
66,AC007319.1,linear down quadratic down,-0.07831008033743216,linear_quadratic,1.7526093347134775,-0.05289456082265738,-0.0012102628340368942,5.4435094270425096e-251,0.09459364944822335,0.5716241235120106,0.5203514434283665,1.0635103823578984
67,ADGRB3,linear down quadratic down,-0.07984426734429366,linear_quadratic,1.8909739023801282,-0.046980663426400636,-0.0015649335198996681,6.422558427110771e-234,0.09126818179057672,0.5709507894307526,0.48924152770306617,1.1936432170692126
72,PID1,linear down quadratic down,-0.0768079968610678,linear_quadratic,1.697924066388319,-0.029384327271052155,-0.0022582699804769356,4.752699742676748e-261,0.1034118824968504,0.5684938408903175,0.4974896897973821,1.0827705160991572
81,PBX1,linear down quadratic down,-0.08119593762387374,linear_quadratic,1.9885365357110487,-0.040169472126548,-0.0019536412141583684,5.537682010471603e-244,0.09425390918245358,0.5633194287587979,0.4224493455262686,1.262400873884705
126,MTUS1,linear down quadratic down,-0.059598577688844814,linear_quadratic,1.434999699215653,-0.03836792636828939,-0.001010983396216925,3.0649819427238255e-177,0.06424275321411721,0.550838255439198,0.5355926125156895,0.9403790802017213
165,ABLIM1,linear down quadratic down,-0.059567855657140435,linear_quadratic,1.7772136887063588,-0.03735104765720371,-0.0010579432380922245,3.4220964817058557e-143,0.05566897015784944,0.5421799290666871,0.418594226286534,1.232872342557827
254,SSBP2,linear down quadratic down,-0.04850200373168105,linear_quadratic,1.639552939117112,-0.02776255308859593,-0.0009875928877659582,8.887087955056146e-102,0.039594208977338674,0.5292675209845765,0.41563564640487716,1.2077559236838802
