,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
16,ACSM3,linear down,-0.0633233786895887,linear,1.1386189795867097,-0.0633233786895887,nan,0.0,0.040965843519344736,0.6259800086000804,0.6873767258382643,0.8251503438658778
25,MALAT1,linear down,-0.032846266656341556,linear,6.955275640998018,-0.03284626665634156,nan,0.0,0.20874284360911688,0.6060617211546182,0.0,6.567184829200287
27,SLC8A1,linear down,-0.1097084010669446,linear,3.0181420159152585,-0.10970840106694459,nan,0.0,0.15712221512973923,0.6024247884552603,0.2816926663080509,1.7435710184301596
31,FHL2,linear down,-0.11026542816013517,linear,2.5560260587855064,-0.11026542816013515,nan,0.0,0.15368267674411473,0.5947227377809275,0.3925945849022772,1.3200867903792362
39,SYNPO2,linear down,-0.10170068133195526,linear,2.3425083868348624,-0.10170068133195527,nan,0.0,0.12924011632984433,0.58515329329317,0.44298009682625067,1.2349061490147033
45,MT-CO1,linear down,-0.07800981755671109,linear,1.5749754661234607,-0.07800981755671108,nan,0.0,0.1115783020624771,0.5808796293027474,0.581405773713466,0.8100965382714722
49,PLXDC2,linear down,-0.057810921761278077,linear,3.0305623880008414,-0.05781092176127807,nan,7.643500636637527e-151,0.03843979054657465,0.5786475546499581,0.21561771561771562,2.1910974804895105
51,FOXP2,linear down,-0.09005990954263254,linear,1.8883376443437714,-0.09005990954263254,nan,0.0,0.12168936106567507,0.5779239439360714,0.5368477676169984,0.9466671987421554
53,TECRL,linear down,-0.07702657249855996,linear,1.551106006251383,-0.07702657249855996,nan,9.4720077e-317,0.10796418111333461,0.5769955428139093,0.5899228976152053,0.8064681319221804
89,CACNB2,linear down,-0.06280561135434043,linear,1.3131799489890421,-0.06280561135434043,nan,1.6906715460328066e-200,0.054586322015919175,0.5605349448151986,0.6109019185942263,0.7654034924403801
93,ABCA6,linear down,-0.08009448117512856,linear,2.2061415825039217,-0.08009448117512856,nan,2.9086222439155234e-217,0.08257021064199055,0.5595226491027605,0.41124260355029585,1.327396072279003
98,PDE1C,linear down,-0.07311990398135364,linear,1.7712212348802487,-0.07311990398135364,nan,8.933335533638646e-234,0.08636810458876076,0.5577726656264435,0.5023310023310024,1.0147349439232562
99,LIMCH1,linear down,-0.06602308612576123,linear,1.4579099930147057,-0.06602308612576122,nan,4.21658157096171e-223,0.07532209538924073,0.5571085068435032,0.5746817285278824,0.8235182767832168
