,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
0,LAMA2,linear up quadratic down,-0.10838034989169705,linear_quadratic,4.137319051886554,0.07599726885578659,-0.00877988660702303,0.0,0.38070987273958834,0.7395605216425083,0.0675990675990676,3.5223417759368836
3,ZBTB20,linear up quadratic down,-0.09061654510376589,linear_quadratic,3.025032629171438,0.07203421008784403,-0.00774527405674333,0.0,0.2765471202996561,0.6781953329781867,0.13994979379594763,2.4875708940290475
9,CDH19,linear up quadratic down,-0.12338991339836276,linear_quadratic,2.230525734931928,0.1376794210406418,-0.012431873068524026,0.0,0.20919605018761023,0.649860818982529,0.3483951945490407,1.8063536083898153
23,COL8A1,linear up quadratic down,-0.09413693956527149,linear_quadratic,1.9304167800131864,0.1335951240556362,-0.010844383981947986,3.30647367914914e-310,0.145196356619274,0.6086446688245484,0.3290299444145598,1.7068077823632777
28,GSN,linear up quadratic down,-0.08362923767450821,linear_quadratic,1.484078777888378,0.14741623423189817,-0.011002165328876495,5.906049345684159e-294,0.15539115971574635,0.6016625232988082,0.3764568764568765,1.4252074155594405
30,LHFPL6,linear up quadratic down,-0.09831655453867187,linear_quadratic,2.1585008874352143,0.04681163378850707,-0.006910866110818046,0.0,0.13503105783176117,0.595248906758975,0.34167114936345705,1.5680526077568584
48,EBF1,linear up quadratic down,-0.06454980175325671,linear_quadratic,1.9597057971264973,0.12088624436288604,-0.008830287910292512,1.7687673994908855e-187,0.08080119743601288,0.57923970701395,0.260265375649991,1.8511364996915904
54,RERG,linear up quadratic down,-0.05042095551792204,linear_quadratic,0.8287566215433075,0.022889227464297928,-0.003490961094391427,1.0185003345797692e-259,0.0910762724357207,0.575143655885904,0.6455979917518379,0.7227310355352341
56,ELN,linear up quadratic down,-0.043518419774473016,linear_quadratic,0.7198604109651886,0.041651142706597005,-0.004055693451479525,1.2010001013350908e-157,0.04434763227670191,0.5740745280410338,0.634480903711673,0.7701088622619687
62,CELF2,linear up quadratic down,-0.08416727111066127,linear_quadratic,1.9417935533417698,0.041314273855702334,-0.005975311665064934,2.848969956245018e-260,0.10377810421232392,0.5728065568129053,0.35574681728527885,1.4503119377147211
68,BICC1,linear up quadratic down,-0.01779879896184693,linear_quadratic,2.5635573624915087,0.02772239025420212,-0.0021676756769547167,2.4371099383813256e-66,-0.016909701099440788,0.5706195325879433,0.1466738389815313,2.313552783020441
69,GAS7,linear up quadratic down,-0.0457429978610957,linear_quadratic,1.0957872885657105,0.22919184452269759,-0.013092135351609205,2.2032013623302464e-109,0.08497219823182567,0.5706193432095792,0.3243679397525551,1.5950149782149903
70,FNDC3B,linear up quadratic down,-0.002313789728552901,linear_quadratic,2.5082526512833696,0.03190749199651236,-0.0016295848440507266,4.4054936379857246e-20,-0.03663543387441215,0.5691327938104127,0.11323292092522862,2.4098930555226827
73,TIMP3,linear up quadratic down,-0.02129925442022928,linear_quadratic,0.4689747584293174,0.06265943404530139,-0.0039980327840728885,8.56811398488872e-37,-0.009592224876206146,0.5670595501332907,0.6298188990496683,0.7936854517446655
74,TNXB,linear up quadratic down,-0.03864057345081136,linear_quadratic,0.5967180737184381,0.10279265174158929,-0.006734915485352412,3.9130139187735924e-132,0.08647721165710653,0.5662669098614299,0.5932400932400932,0.8379390572718308
78,SOBP,linear up quadratic down,-0.05005984907634717,linear_quadratic,0.9094509176287671,0.11418364681915931,-0.007821118852166976,3.5866410023606164e-175,0.10550165744271323,0.5638688164801196,0.48592433207817826,1.0496788712838443
82,LAMC1,linear up quadratic down,-0.07241966065836022,linear_quadratic,1.832584752883085,0.056278533593585166,-0.006128485440568828,1.1662856310851146e-190,0.08318406777413834,0.5629275804482351,0.3514434283665053,1.4945937476860318
83,GRK5,linear up quadratic down,-0.036519310591276416,linear_quadratic,1.0591489953121245,0.18289115295732072,-0.01044811731183796,2.9415757488885594e-78,0.07383786192593522,0.5628553177105469,0.3776223776223776,1.5249584834086427
84,NAALADL2,linear up quadratic down,-0.07690866747854565,linear_quadratic,1.9025640748578554,0.025543392772687273,-0.004878669535772996,1.3973671405789108e-214,0.08959499705795848,0.5620104032410533,0.37394656625425854,1.4218668819436975
90,COL15A1,linear up quadratic down,-0.0611394915055866,linear_quadratic,1.3026982350065541,0.023897042106747552,-0.004049358743444483,3.3200719138067614e-197,0.0800517290232371,0.5605220155948208,0.518916980455442,1.0370559219428006
91,PDZD2,linear up quadratic down,-0.05712370781337591,linear_quadratic,1.266204476032118,0.04882058310533314,-0.00504496623422424,5.966712965639827e-172,0.08061266446571047,0.5600599637228117,0.4857450242065627,1.1195259913466022
92,DLC1,linear up quadratic down,-0.030717463039992045,linear_quadratic,1.9327103708891287,0.10663464838031532,-0.006540576734300352,7.990367731515886e-73,0.027750789286653754,0.5599470879709758,0.23193473193473194,1.9623987080374754
94,CDK8,linear up quadratic down,-0.05396043727243962,linear_quadratic,1.0668426308880299,0.02694946430366181,-0.00385285245600483,2.8532044688617384e-192,0.07785859202043677,0.5591807892525362,0.5606957145418684,0.883952364100771
96,CHD9,linear up quadratic down,-0.01381378075188211,linear_quadratic,2.208261239139399,0.06054268529570938,-0.0035407840975043574,2.1142850662259737e-64,-0.014552730179103968,0.5583408236833856,0.16639770485924332,2.117808138120853
100,AP003086.1,linear up quadratic down,-0.03345861049840808,linear_quadratic,0.4792280885199329,0.04707672702255618,-0.0038350160724268693,4.326951595107173e-191,0.05185993894710794,0.5566273144066187,0.6682804375112067,0.6349475868136991
101,ANKS1B,linear up quadratic down,-0.04181131015528015,linear_quadratic,0.7412989946925843,0.07632310851239091,-0.005625448507984336,4.01940785839815e-135,0.06865355963196507,0.5565263155461844,0.5833781603012372,0.8523083098924152
109,SMOC2,linear up quadratic down,-0.03209222996214891,linear_quadratic,0.725463729979539,0.0778646510902348,-0.005236041954875414,4.927341334824386e-76,0.032177767464636964,0.5550743378942036,0.5712748789671867,0.9391518616361842
110,MSC-AS1,linear up quadratic down,-0.05873416464053839,linear_quadratic,1.2601082483866026,0.03234196590602761,-0.0043369585974555236,1.7518847083999585e-193,0.08445319615767866,0.5549756104170314,0.5016137708445401,1.0237150802456518
112,EXT1,linear up quadratic down,-0.02659879049398056,linear_quadratic,1.8209647963005244,0.11153520218889947,-0.006577809175375239,3.3190269947901864e-45,0.019086160850030676,0.5548326592541911,0.25775506544737314,1.9278031404922003
116,CCNH,linear up quadratic down,-0.04471289508704396,linear_quadratic,0.7967274393005033,0.035492357692290456,-0.003819297751396877,3.334763740834786e-178,0.07294033543832867,0.5536213935511105,0.612246727631343,0.7277079168325264
118,BNC2,linear up quadratic down,-0.0009426951486072719,linear_quadratic,1.905080504328337,0.09990652984872464,-0.0048023440474919965,2.746664109931426e-12,-0.022261862169359103,0.553042154292536,0.2157970234893312,2.0557646426161016
119,JMJD1C,linear up quadratic down,0.0009557340953085218,linear_quadratic,2.292136984599274,0.02544760689899424,-0.0011662796573183667,1.5585406147179047e-10,-0.04730516756202574,0.5520633730880077,0.14766003227541688,2.170603850392684
122,CREB5,linear up quadratic down,-0.0452364824544717,linear_quadratic,0.9600905434405955,0.039550640010921775,-0.004037482022161594,1.2095614050690204e-140,0.05831531386502742,0.551377784164508,0.561681907835754,0.8957964678913393
124,EGFR,linear up quadratic down,-0.04701499009389183,linear_quadratic,1.1187863882905644,0.0610252304876807,-0.005144772408646312,2.2391099756401988e-128,0.06424269249348913,0.551165853909314,0.48422090729783035,1.0928751238784296
127,GPHN,linear up quadratic down,-0.06231336320132704,linear_quadratic,1.4828464710836362,0.052994537503112345,-0.005490852414497114,6.761096024555989e-170,0.07911254300002701,0.55064507919261,0.4081943697328313,1.2484729077918235
131,PTPRG,linear up quadratic down,-0.007701876027707783,linear_quadratic,2.186722748939953,0.037995345967763265,-0.0021760581902605263,2.2796695423328124e-28,-0.023954920457207374,0.5483043399732441,0.17814237045006276,2.0662754696933834
138,COL4A4,linear up quadratic down,-0.03425898801103338,linear_quadratic,0.6975759162915349,0.024313779131957584,-0.002789179387761475,1.904254005943832e-83,0.006850079976097656,0.5475024216528641,0.6354670970055586,0.7507265623283127
140,IMMP2L,linear up quadratic down,-0.05338219081018914,linear_quadratic,1.4201446440532353,0.06674036542858909,-0.005720121725656106,1.9344571724087023e-136,0.0703312262527288,0.5465872558418858,0.4027254796485566,1.3100734425121032
144,MAML2,linear up quadratic down,-0.03465788570385717,linear_quadratic,1.851321890480142,0.0897412945859331,-0.005923770489990014,1.2492997509007762e-56,0.018695860772383055,0.5460975552911116,0.26878249955173034,1.8159862302232384
147,ABTB2,linear up quadratic down,-0.03494230462626755,linear_quadratic,0.6906219747027502,0.03446851261693013,-0.003305277011580842,9.369759614502587e-100,0.025652153102966757,0.5455346316369094,0.6265017034247804,0.7430101026107226
151,AKT3,linear up quadratic down,-0.06181317683362026,linear_quadratic,1.6550152589845986,0.025815981721142134,-0.0041728170740363045,5.078027876831363e-155,0.06622874197105155,0.5443478780922052,0.38336022951407567,1.3053516133718845
152,ECHDC2,linear up quadratic down,-0.04019077823049804,linear_quadratic,0.7669091964321285,0.018785880821513893,-0.002808412335810092,1.0995625259272058e-138,0.04594492959090013,0.5443316618431392,0.6272189349112426,0.6883926769912139
154,AC011246.1,linear up quadratic down,-0.03271413157846299,linear_quadratic,1.572322859579666,0.09873560336897916,-0.006259511187973435,4.412811002850859e-49,0.03295266186703183,0.5436177952143754,0.35072619688004303,1.714176721013986
158,TSHZ2,linear up quadratic down,-0.02836478219257118,linear_quadratic,1.205785349247758,0.12368143188938084,-0.0072402959086643815,7.714744540681301e-49,0.04346564837578859,0.5431358932260731,0.3820154204769589,1.5179162055110273
160,UBE2E2,linear up quadratic down,-0.0447703425061522,linear_quadratic,1.7066046488536317,0.09975893013403421,-0.006882346316199352,4.8350537902368723e-91,0.032706394728940325,0.5427188382258206,0.2868925945849023,1.6566746876492737
161,PKNOX2,linear up quadratic down,-0.033461704889781084,linear_quadratic,0.7269717580388892,0.08164797225727373,-0.005481413197478801,7.32385148218461e-76,0.038748946580772214,0.5426860132300227,0.5596198673121751,0.9135007985207101
164,PLCB1,linear up quadratic down,-0.03512326508801032,linear_quadratic,1.0879862908001667,0.058949334816149085,-0.004479647614483781,3.6099074912669345e-64,0.035262403200095216,0.5422750541107173,0.490944952483414,1.1423977136758112
167,RBMS1,linear up quadratic down,-0.044371713757254405,linear_quadratic,1.9618386403518064,0.05318586867423234,-0.004645599163404132,2.9126757017127366e-94,0.026733234017034757,0.5416345180464227,0.26573426573426573,1.7170051995373858
169,CPQ,linear up quadratic down,-0.04604362959437677,linear_quadratic,1.1075499355537421,0.02775997807562257,-0.003514457508095207,2.0984601397121333e-126,0.05329510738854526,0.5413803083090376,0.5178411332257487,0.9586740244692488
172,CMSS1,linear up quadratic down,-0.034267215938112286,linear_quadratic,0.6928122061458207,0.04529670120692726,-0.0037887579592875975,3.637407833856887e-102,0.03792527027260173,0.5411405396472639,0.6099157253003407,0.7539028546593151
174,TNNT2,linear up quadratic down,-0.03402358167022072,linear_quadratic,0.7931262617180226,0.06061246441080915,-0.0045064783848109465,1.6544414127578862e-74,0.036957777875783915,0.540495504906551,0.5424959655728886,0.8859378228527882
175,ABI3BP,linear up quadratic down,-0.040180760127987804,linear_quadratic,1.443663342778047,0.04652467854845283,-0.00412883041316384,1.276876483210439e-78,0.03822745067251121,0.5404261295518811,0.402546171776941,1.3867895257916445
181,DCLK1,linear up quadratic down,-0.02299527003003444,linear_quadratic,0.8114238177381383,0.10894124215811593,-0.00628269105657859,2.625189389301735e-41,0.036477440175070486,0.539914935616598,0.48924152770306617,1.143303510706473
182,NFIB,linear up quadratic down,-0.049948719007601526,linear_quadratic,1.8170900127813392,0.06703707784407754,-0.0055707522310323365,4.579596015075488e-105,0.03356050661085608,0.5399044577632548,0.28500986193293887,1.6178670946064193
186,GXYLT2,linear up quadratic down,-0.02533041571040079,linear_quadratic,0.6590735451465392,0.10825018011958995,-0.006360980753809083,1.7012971653534613e-48,0.03847534707925948,0.5387479956201074,0.5337995337995338,0.9852058789770484
189,RHOJ,linear up quadratic down,-0.03582354658009588,linear_quadratic,0.7152761283970352,0.052494046248541884,-0.00420559965850656,1.7885865869940043e-98,0.04164981213236374,0.538248756127653,0.5931504393042855,0.7695059531863008
190,ROBO1,linear up quadratic down,-0.03243074041978569,linear_quadratic,1.1469188763501497,0.09170865739010324,-0.005911399895708998,5.880978813512632e-66,0.04484612859127268,0.5380253240088617,0.40980814057737136,1.3194734576770666
191,GAB2,linear up quadratic down,-0.03899478526900726,linear_quadratic,1.0910974225857284,0.07572998127122371,-0.005463084120963379,1.0472223625433247e-97,0.054152535119475154,0.5378802057706075,0.45508337816030126,1.1533528492191143
192,DENND2A,linear up quadratic down,-0.024107965179564015,linear_quadratic,0.47762496431018225,0.0706609250071288,-0.0045128042946044195,8.064947040365883e-52,0.01518516476714904,0.5378178080461878,0.6226465841850457,0.7424428380894746
193,SPTBN1,linear up quadratic down,-0.04662570671562401,linear_quadratic,1.9141449743051724,0.047567183656787734,-0.004485375732019607,5.527462791953923e-97,0.02798325475010066,0.5377440574334,0.27218934911242604,1.6539626805280616
194,LTBP1,linear up quadratic down,-0.031005514358288754,linear_quadratic,1.4349610270465774,0.11420911329542512,-0.00691498226922447,1.302542836547279e-42,0.029751285666733907,0.5373183514657609,0.3180025103102026,1.6092461599937244
201,PRICKLE1,linear up quadratic down,-0.006992275403000993,linear_quadratic,0.7192350620027833,0.1357194187288422,-0.006795794958659199,1.278789796497592e-12,0.0277926270102139,0.5364580520110078,0.4546351084812623,1.2654232991554601
210,CARMIL1,linear up quadratic down,-0.03816735311143393,linear_quadratic,1.0561002130431842,0.050973294780041166,-0.00424479275673691,2.8007554544873305e-88,0.04349949285121779,0.534776727896416,0.4869105253720638,1.0403636832006455
211,ZHX2,linear up quadratic down,-0.03503979257986987,linear_quadratic,0.758868025711354,0.03595340983953721,-0.0033806286866384324,4.9059859894505475e-84,0.03024906998724952,0.5346265072108547,0.5976331360946746,0.7593878389187735
213,SLIT2,linear up quadratic down,-0.011337478084515573,linear_quadratic,1.1269622420477001,0.07256355550287294,-0.003995287313685168,4.061807335444419e-08,0.01049882910794775,0.5344325892804602,0.41473910704679934,1.3978542320288685
215,SDC2,linear up quadratic down,-0.01805462814953901,linear_quadratic,0.6002790122204875,0.03688855586663671,-0.0026163420960083673,9.436207899077876e-20,-0.014050426036935404,0.5342266131433621,0.6123363815671508,0.7924615989250492
221,PPP2R3A,linear up quadratic down,-0.03529123667080263,linear_quadratic,0.7623317233527178,0.018710759194531378,-0.002571523612634953,1.5547923062989902e-92,0.0238532290565453,0.5334297072989674,0.6172673480365788,0.7156576442971131
222,ARHGAP29,linear up quadratic down,-0.03597340099572296,linear_quadratic,0.8139835110523811,0.030784228165601737,-0.0031789347219678427,3.838953029731843e-82,0.02635397694906716,0.5333670836638771,0.5882194728348574,0.7895437455953023
228,LGR4,linear up quadratic down,-0.025062995151844358,linear_quadratic,0.8893601040415269,0.02858379311974238,-0.002554608965313654,3.143155981689274e-38,0.009019043022283846,0.5321552404628324,0.5571095571095571,0.9288536786946388
229,BACH2,linear up quadratic down,-0.024514649949336005,linear_quadratic,0.5364174973310574,0.037571431591149757,-0.0029564800733564646,2.8537455687605894e-55,-0.00474717952507131,0.5320083105514447,0.6402187556033709,0.7025005183620227
234,TNRC6C,linear up quadratic down,-0.028293178104560352,linear_quadratic,0.5478229569130616,0.040168493358738754,-0.003260079593490434,2.1724530137921095e-81,0.017438393593032564,0.5317400357934854,0.6401291016675632,0.6644225433458848
241,ADD3,linear up quadratic down,-0.03921520804998149,linear_quadratic,1.250066096504109,0.04140816931899181,-0.0038392084461415857,2.649287523570605e-87,0.04171372133227824,0.5312452168665082,0.4388560157790927,1.1735398903353056
248,SCMH1,linear up quadratic down,-0.025139822141631952,linear_quadratic,0.7568260532725913,0.09860311063996413,-0.005892520608647432,2.135088537314175e-50,0.03834298528022606,0.5303315500726044,0.4964138425676887,1.018799799408284
249,PTPRE,linear up quadratic down,-0.017145782993116216,linear_quadratic,0.46409486471928224,0.0792318334072045,-0.004589410304777177,2.9702752121115015e-21,0.0055496214372295904,0.5299168905338758,0.6020261789492559,0.7949371499542766
253,GFPT2,linear up quadratic down,0.01076969109617599,linear_quadratic,0.26050820858474993,0.08300666984283611,-0.003439856130793339,1.7227489216168062e-13,-0.008558760328317483,0.5292691782041659,0.6001434462972924,0.814262613656984
255,ZNF521,linear up quadratic down,-0.032448539353363504,linear_quadratic,0.7728605376888859,0.02601745088600408,-0.002784094773303218,1.4137971906910016e-64,0.01656630316441432,0.5291143183584845,0.5980814057737135,0.7597514802429621
256,RHOBTB3,linear up quadratic down,-0.034334601335596016,linear_quadratic,0.9518245265767649,0.023035515646896158,-0.002731910332499627,1.3568854120017605e-68,0.024083485749248568,0.5289703847558053,0.5487717410794334,0.8814568570880402
257,NPAS2,linear up quadratic down,-0.008449173286678935,linear_quadratic,0.4987946052524673,0.06375716043955618,-0.003438396844106434,6.805611929006456e-05,-0.008022972951248875,0.5288930343035334,0.5950331719562488,0.8355617670808679
