,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
145,THBS1,linear up,0.024811253975237875,linear,0.07925501284353663,0.024811253975237875,nan,1.2424968389601738e-160,-0.07881516573188296,0.5459873760415423,0.6561771561771562,0.748586125591716
204,KALRN,linear up,0.02241435015861136,linear,0.43327796908123767,0.022414350158611363,nan,1.2853366030565954e-54,0.004344528823849614,0.5360129639947496,0.6022951407566792,0.8181939286991213
216,CACNA1C,linear up,0.017200319361776673,linear,1.973213783236089,0.01720031936177668,nan,0.0042329004276472956,-0.047131244040336195,0.5341934683228866,0.204769589384974,1.928864426213914
219,SH3PXD2B,linear up,0.03229168834506146,linear,0.39910223406287415,0.032291688345061464,nan,4.7890534537503344e-90,0.027694802856000122,0.5337622304878051,0.5721714183252645,0.8487609478680294
331,AFAP1,linear up,0.010546769055264086,linear,0.43076565199764644,0.010546769055264086,nan,4.851188018722177e-30,-0.022249070380610858,0.5236605546168798,0.6274878967186659,0.7240457707772996
341,SH3PXD2A,linear up,0.020940960357312507,linear,0.4760825052216984,0.02094096035731251,nan,1.9454823180717995e-46,0.009248462215352693,0.5229781884225184,0.5840953917876994,0.801211564679039
383,INSR,linear up,0.009223738293591256,linear,0.5089020075545821,0.009223738293591254,nan,9.826815463853193e-22,-0.012912207497260964,0.5207018377653231,0.6115294961448807,0.7501153182696791
393,CUX1,linear up,0.036604052009053575,linear,1.3445265030587976,0.03660405200905358,nan,1.224478832017309e-37,-0.008874974968390514,0.5204031923337219,0.28967186659494354,1.5883428946772455
427,GNB1,linear up,0.02641850663294729,linear,0.681210762873957,0.02641850663294729,nan,2.5207385856863503e-50,0.018051567924482925,0.5187572725041067,0.48592433207817826,1.0191371482741618
439,RABGEF1,linear up,0.015453271744441256,linear,0.6446047861494784,0.015453271744441251,nan,4.731694861160119e-27,0.005300782439746299,0.5182228470636853,0.5437511206741976,0.8858563626878251
440,CAPZB,linear up,0.01675073621426433,linear,0.5294482971252382,0.016750736214264334,nan,1.5727799790885584e-36,0.006306462291014059,0.5181877100430521,0.577729962345347,0.7985207402761341
483,VIM,linear up,0.01323628492368667,linear,0.7554872567259876,0.013236284923686666,nan,4.76849214269887e-20,0.003910199333563291,0.5161429771052203,0.5129998206921283,0.9620266623023132
528,EHMT1,linear up,0.00833806847869567,linear,0.5797699688803504,0.00833806847869567,nan,1.4633271514482156e-17,-0.00411831480577618,0.5142988651352465,0.587591895284203,0.7657433324457593
550,UBE2K,linear up,0.007846842785727389,linear,0.7341515566303372,0.007846842785727396,nan,1.0192933222473857e-11,-0.000673955985595942,0.5135521212783033,0.5363098440021516,0.887233293598709
553,SMG1,linear up,0.010251617768365561,linear,0.44306174085144745,0.01025161776836556,nan,8.638381471047264e-31,-0.012031492718287184,0.5134757431295247,0.6217500448269679,0.6933929631154743
561,KDM2A,linear up,0.014966449239369004,linear,0.8312100938807282,0.014966449239369005,nan,1.4203208040799968e-21,0.006299728688730077,0.5131293802932493,0.4716693562847409,1.039607348758293
577,STAT3,linear up,0.017738363830676764,linear,0.9550528282507564,0.017738363830676757,nan,6.684195933588317e-24,0.008164686728113768,0.5125306455439164,0.421463152232383,1.1836529477801687
626,APBB2,linear up,0.013900126099580194,linear,1.2212714777150597,0.013900126099580194,nan,1.2656578801189094e-10,0.0032876815315527885,0.5104643481020539,0.3730500268961807,1.3994611818612157
637,ZFHX3,linear up,0.015085480517384458,linear,1.0728334895052178,0.015085480517384462,nan,1.8735587404831283e-16,0.0054747505528538465,0.5097986463092474,0.3932221624529317,1.2662920816334946
678,ASAP1,linear up,0.009057512805141986,linear,1.234617415938447,0.009057512805141988,nan,2.9549093142742177e-07,0.0019675091195686667,0.5063152609431971,0.3573605881298189,1.3548366581307154
