,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
11,FN1,quadratic up,0.0905669518931719,quadratic,2.452933178283886,0.0043127119949129475,nan,1.4670751080218648e-295,0.11296102146365139,0.6373408543640631,0.12605343374574143,2.9770092706347495
37,CCNL2,quadratic up,0.07299740509472512,quadratic,0.06248920633871027,0.003476066909272624,nan,0.0,0.1365874626125415,0.585875239993183,0.6438049130356822,0.7078678353021338
63,VCAN,quadratic up,0.07153620816478154,quadratic,1.4746052171465516,0.003406486103084835,nan,1.876104005942072e-200,0.06749654124643467,0.5727079709952382,0.26447911063295676,1.8124559844710417
95,CDH11,quadratic up,0.050024725577882734,quadratic,0.1346031833552484,0.0023821297894229872,nan,7.324171556470683e-184,0.04373040995394306,0.558921128927402,0.6577012730858884,0.7164211640604268
121,MACF1,quadratic up,0.0472270503200638,quadratic,1.7383869567546528,0.0022489071580982767,nan,1.5039472702896287e-113,0.0041387304372505485,0.5515710138034859,0.21588667742513895,1.8419793924538284
198,MYH9,quadratic up,0.03306303375504144,quadratic,0.49593499582188644,0.001574430178811497,nan,2.1294586338513809e-106,0.03715590875906205,0.5367607442190663,0.5823919670073516,0.8245617440012553
207,RUNX1,quadratic up,0.04780757039274388,quadratic,0.9485820508155334,0.0022765509710830417,nan,2.9815898191113053e-84,0.02975193643499452,0.5352811966324754,0.42316657701273086,1.3311398650986195
236,ANKRD11,quadratic up,0.04803606374546497,quadratic,0.8265599627040647,0.002287431606926903,nan,6.093461514392635e-120,0.047886486705007725,0.5316223890457772,0.42002868925945847,1.1791060733082304
238,ARGLU1,quadratic up,0.03646193328100442,quadratic,0.6089794604559232,0.0017362825371906867,nan,1.5276723660952972e-105,0.042653607655074754,0.5314809248427204,0.5233996772458311,0.9217816246091088
243,TRIO,quadratic up,0.04526027080257048,quadratic,1.5019205506055002,0.002155250990598594,nan,1.2981314072328408e-73,-0.00033335063996964287,0.5310369640492631,0.282499551730321,1.6370689095122828
286,LRRFIP1,quadratic up,0.028753290455063696,quadratic,0.721999400979358,0.0013692043073839852,nan,1.675561131466409e-71,0.027999555369053408,0.527000853516999,0.5069033530571992,0.9837989288506366
287,COL18A1,quadratic up,0.009953896134941534,quadratic,0.5486050386419302,0.0004739950540448352,nan,4.7438076248935224e-35,-0.008380050102854142,0.526933269179386,0.6083916083916084,0.757195940112964
308,DPYSL3,quadratic up,0.0220526854299674,quadratic,0.6161306125974656,0.001050127877617495,nan,2.5422268799426156e-37,0.009353882663645785,0.5255972391419519,0.572798995875919,0.8671523937493276
313,TNRC18,quadratic up,0.02017298820674469,quadratic,0.4299996165711656,0.0009606184860354612,nan,3.978983981080838e-70,0.005885280849918018,0.5252350972943756,0.6247086247086248,0.7105896646082123
363,MRTFA,quadratic up,0.0352115887972583,quadratic,1.107020602792942,0.001676742323678967,nan,3.516208211619021e-59,0.0228698043399318,0.5217595061851199,0.3666845974538282,1.3700006335718127
368,DIP2C,quadratic up,0.018333098680324546,quadratic,0.4946104447184709,0.0008730046990630737,nan,9.170841613423227e-51,0.006666342622969945,0.5213792022515589,0.6101846871077641,0.7368499135449167
370,ZNF609,quadratic up,0.02048502824649201,quadratic,0.7681323791309288,0.0009754775355472385,nan,8.389747399709042e-40,0.01335871926299137,0.521310383190231,0.5091447014523938,0.9741672168934912
389,FMNL2,quadratic up,0.017746393278939798,quadratic,0.6047385119030039,0.0008450663466161807,nan,4.1040351384673235e-30,0.003737085592036671,0.5205255560583851,0.5811368119060427,0.8256535409144703
421,DENND5A,quadratic up,0.013226925515709852,quadratic,0.4791746164755487,0.0006298535959861835,nan,1.7067063974050795e-34,-0.0070268520858418615,0.5191568404856872,0.6221983145060068,0.7125961721902456
430,GATAD2B,quadratic up,0.008991955808677229,quadratic,0.6199706664484199,0.00042818837184177295,nan,5.665799466157507e-22,-0.0038622487772135283,0.5186039105423088,0.5882194728348574,0.7863598307575757
446,LRP1,quadratic up,0.02566274902945634,quadratic,0.8558610636938524,0.0012220356680693496,nan,3.57741148094224e-47,0.019729958473170828,0.5177367007384825,0.46342119419042493,1.0750460230796126
469,EIF4G3,quadratic up,0.03421835503293527,quadratic,1.3628817015471426,0.001629445477758822,nan,8.707150663578354e-39,0.005062608034011151,0.5168102034658381,0.3102922718307334,1.5006955046037298
490,AFF4,quadratic up,0.01641667863759583,quadratic,0.7510352095212603,0.0007817466017902776,nan,3.695595227819514e-29,0.009445606771444348,0.5158100564531092,0.5206204052357899,0.9240984800251031
514,RAB1A,quadratic up,0.005232295471881941,quadratic,0.7392278035360327,0.00024915692723247325,nan,2.9858282055946926e-10,-0.0026045539622647773,0.5146302094703868,0.552626860319168,0.8512082383324369
515,NUMB,quadratic up,0.005914596511445003,quadratic,0.6815213746981285,0.00028164745292595254,nan,2.8175658208666896e-11,-0.004131481545588622,0.5146280296816489,0.5705576474807244,0.810189048133405
529,TAOK1,quadratic up,0.00921027826186511,quadratic,0.6995178405872787,0.00043858467913643405,nan,4.660849958836231e-16,0.0005306944213750997,0.5142852263724138,0.5560337098798638,0.837385641650529
545,SRPK2,quadratic up,0.015762972267139783,quadratic,0.9342250831707924,0.0007506177270066561,nan,7.452735083403005e-23,0.007317160249312393,0.513757883667617,0.46413842567688723,1.0869558472270036
572,RASAL2,quadratic up,0.015732515142094873,quadratic,1.11673266489501,0.0007491673877188039,nan,8.83671336843784e-15,0.005248633939922254,0.5127467003680485,0.41213914290837367,1.262551633778017
