,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
0,LAMA2,linear up quadratic down,-0.10838034989169705,linear_quadratic,4.137319051886554,0.07599726885578659,-0.00877988660702303,0.0,0.38070987273958834,0.7395605216425083,0.0675990675990676,3.5223417759368836
1,SERPINE1,linear down quadratic up,0.09718210537290695,linear_quadratic,0.7429510523370271,-0.22355447119201524,0.015273170312615344,0.0,0.1497435483214069,0.6868880647035039,0.6844181459566075,0.9315030678366505
2,COL1A1,linear down quadratic up,0.12655245143463878,linear_quadratic,1.067434975973207,-0.17644238742337898,0.014428325659905608,0.0,0.31300865478403606,0.6799664143535051,0.46440738748431054,1.3261459144540075
3,ZBTB20,linear up quadratic down,-0.09061654510376589,linear_quadratic,3.025032629171438,0.07203421008784403,-0.00774527405674333,0.0,0.2765471202996561,0.6781953329781867,0.13994979379594763,2.4875708940290475
4,NEGR1,quadratic down,-0.15217231763681763,quadratic,2.8562051909049413,-0.007246300839848459,nan,0.0,0.2901575689370476,0.6775481096868539,0.3484848484848485,1.6850815267473556
5,POSTN,linear down quadratic up,0.11909804415732454,linear_quadratic,0.7019078531788329,-0.2106826897060223,0.015703844469683183,0.0,0.13759353455872525,0.6750645377448824,0.6379774072081764,1.0587781996584185
6,COL3A1,linear down quadratic up,0.11353003045341911,linear_quadratic,2.0054714946129457,-0.20687068411168455,0.015257176884052556,0.0,0.2720456278309259,0.6640018279238716,0.28438228438228436,1.9768925102348935
7,GPC6,linear down quadratic up,0.10509970786480503,linear_quadratic,1.382642049843564,-0.24061444617578354,0.01646257876383755,0.0,0.21467435672971868,0.6571811154673866,0.5042137349829657,1.3199863012461899
8,COL1A2,linear down quadratic up,0.09202947105202341,linear_quadratic,2.228017011110563,-0.14514292691917308,0.01129392371291412,0.0,0.2268228185965372,0.6532772001772925,0.2062937062937063,2.1439599423032094
9,CDH19,linear up quadratic down,-0.12338991339836276,linear_quadratic,2.230525734931928,0.1376794210406418,-0.012431873068524026,0.0,0.20919605018761023,0.649860818982529,0.3483951945490407,1.8063536083898153
10,PLCG2,linear down quadratic up,0.07933863416274041,linear_quadratic,1.2025692352354824,-0.2790737997412147,0.017067258757331196,0.0,0.18608149662042883,0.6429642126802058,0.6236327774789313,0.8624893697220728
11,FN1,quadratic up,0.0905669518931719,quadratic,2.452933178283886,0.0043127119949129475,nan,1.4670751080218648e-295,0.11296102146365139,0.6373408543640631,0.12605343374574143,2.9770092706347495
12,TTN,quadratic down,-0.06470677963741184,quadratic,3.373501232897802,-0.0030812752208291354,nan,0.0,0.16572182520661716,0.6326818226967095,0.09306078536847767,2.763729361247086
13,THBS2,linear down quadratic up,0.08846434454585429,linear_quadratic,0.8430049562000215,-0.18151081048610643,0.0128559597634267,0.0,0.1942218971542643,0.6311701744938347,0.6026537564999104,0.8807389595472477
14,RBMS3,quadratic down,-0.06674091936899455,quadratic,3.2022298673828513,-0.0031781390175711697,nan,0.0,0.13493269689289422,0.6291208211411023,0.12614308768154922,2.5183375378698227
15,RYR2,quadratic down,-0.07594157313812833,quadratic,3.2767100418528163,-0.00361626538752992,nan,0.0,0.17551118705921243,0.628851311032435,0.1128743051819975,2.598077917966649
16,ACSM3,linear down,-0.0633233786895887,linear,1.1386189795867097,-0.0633233786895887,nan,0.0,0.040965843519344736,0.6259800086000804,0.6873767258382643,0.8251503438658778
17,FGF12,linear down quadratic up,-0.1313417925295659,linear_quadratic,3.0966929557542007,-0.2836748596769993,0.007253955578449209,0.0,0.19674595416588136,0.6233068973858706,0.5040344271113502,1.110221423232921
18,HIF1A,linear down quadratic up,0.0775515393319635,linear_quadratic,0.6899444720150043,-0.1885361052541449,0.012670840218386114,0.0,0.17972411728999682,0.6157985327960136,0.6713286713286714,0.678888776208535
19,ABCA8,linear down quadratic down,-0.12160843779682944,linear_quadratic,2.4517912066445637,-0.052267523758257564,-0.0033019482875510423,0.0,0.18132516771276364,0.6153093760844665,0.43858705397166936,1.3577660059386767
20,PRKG1,linear down quadratic down,-0.059267109682417086,linear_quadratic,3.3014801467644896,-0.03640034560319537,-0.0010888935275819868,0.0,0.0897958126200803,0.6128249361532369,0.1178052716514255,2.527114463268782
21,SGCD,linear down quadratic down,-0.12177401233364149,linear_quadratic,2.5058500748642154,-0.07283155047189417,-0.002330593421987968,0.0,0.17813071351058818,0.6119301806224378,0.41420118343195267,1.3373089767168729
22,SCN7A,linear down quadratic down,-0.12088814654277041,linear_quadratic,2.400531460005507,-0.08983092371346324,-0.0014789153728241506,0.0,0.1648830861865137,0.6116339885331199,0.4847588309126771,1.2119201657835754
23,COL8A1,linear up quadratic down,-0.09413693956527149,linear_quadratic,1.9304167800131864,0.1335951240556362,-0.010844383981947986,3.30647367914914e-310,0.145196356619274,0.6086446688245484,0.3290299444145598,1.7068077823632777
24,COL6A3,linear down quadratic up,0.05792580025291954,linear_quadratic,2.3889188585744363,-0.06159591400761394,0.005691510202882547,2.637592740403033e-232,0.08792158064746547,0.6084915656008525,0.1446117984579523,2.3711945515187374
25,MALAT1,linear down,-0.032846266656341556,linear,6.955275640998018,-0.03284626665634156,nan,0.0,0.20874284360911688,0.6060617211546182,0.0,6.567184829200287
26,NFIA,quadratic down,-0.10122088614463318,quadratic,2.645290843981602,-0.004820042197363484,nan,0.0,0.14797260456474837,0.6054352746902194,0.25963779809933657,1.8265330017267347
27,SLC8A1,linear down,-0.1097084010669446,linear,3.0181420159152585,-0.10970840106694459,nan,0.0,0.15712221512973923,0.6024247884552603,0.2816926663080509,1.7435710184301596
28,GSN,linear up quadratic down,-0.08362923767450821,linear_quadratic,1.484078777888378,0.14741623423189817,-0.011002165328876495,5.906049345684159e-294,0.15539115971574635,0.6016625232988082,0.3764568764568765,1.4252074155594405
29,MIR99AHG,quadratic down,-0.1057685081331507,quadratic,2.39842484792106,-0.005036595625388128,nan,0.0,0.14476509286227313,0.5983389942062327,0.3275954814416353,1.5753909571337634
30,LHFPL6,linear up quadratic down,-0.09831655453867187,linear_quadratic,2.1585008874352143,0.04681163378850707,-0.006910866110818046,0.0,0.13503105783176117,0.595248906758975,0.34167114936345705,1.5680526077568584
31,FHL2,linear down,-0.11026542816013517,linear,2.5560260587855064,-0.11026542816013515,nan,0.0,0.15368267674411473,0.5947227377809275,0.3925945849022772,1.3200867903792362
32,PCDH9,linear down quadratic down,-0.10116369329146246,linear_quadratic,2.602902958684274,-0.028001258825646292,-0.00348392545075315,0.0,0.13290054536350016,0.5936128715945883,0.29756141294602834,1.6970622401120676
33,DCN,quadratic down,-0.1001929964927279,quadratic,2.3547114713576094,-0.004771095071082282,nan,0.0,0.13021357602424521,0.5929081584748725,0.3319885242962166,1.585565758056303
34,TBX20,quadratic down,-0.07086639959084882,quadratic,1.2509566821864,-0.003374590456707087,nan,0.0,0.13414213587159707,0.5896101859249017,0.5919849381387843,0.8510044665501165
35,SOX6,quadratic down,-0.09427806689862356,quadratic,1.876129590257474,-0.004489431757077313,nan,4.871052968892863e-304,0.12754452267759442,0.5872942122693345,0.4469248700017931,1.2215680576152053
36,RORA,quadratic down,-0.041978676663239956,quadratic,2.8775911994806256,-0.0019989846030114265,nan,7.237071349979599e-178,0.030965214215042614,0.5862837578606648,0.1481083019544558,2.352570351506186
37,CCNL2,quadratic up,0.07299740509472512,quadratic,0.06248920633871027,0.003476066909272624,nan,0.0,0.1365874626125415,0.585875239993183,0.6438049130356822,0.7078678353021338
38,ADAMTSL3,quadratic down,-0.07298694939469615,quadratic,1.309539993461688,-0.003475569018795055,nan,1.467e-320,0.1304134220555322,0.5857695754069907,0.5757575757575758,0.8791984854276494
39,SYNPO2,linear down,-0.10170068133195526,linear,2.3425083868348624,-0.10170068133195527,nan,0.0,0.12924011632984433,0.58515329329317,0.44298009682625067,1.2349061490147033
40,UACA,linear down quadratic up,0.052168582671386965,linear_quadratic,1.422431817840386,-0.2016849771541487,0.012088264753596938,3.191549245496158e-180,0.1257111164493886,0.5841860251816942,0.5118343195266272,1.0425476923973462
41,MLIP,linear down quadratic up,-0.09707606255877665,linear_quadratic,2.1496596672646486,-0.13244633042674397,0.0016842984699032058,0.0,0.1301630443516515,0.5840381672781778,0.5179307871615564,0.990190309396629
42,RBM25,linear down quadratic up,0.06945851458053383,linear_quadratic,0.757275519666181,-0.10003073858321432,0.00807091681732134,1.2528321472546977e-301,0.13210372468822873,0.5838262462733138,0.5523578985117447,0.906040904758831
43,CTNNA3,linear down quadratic up,-0.10291850795773586,linear_quadratic,2.5162233568274615,-0.15480751000595025,0.002470904859438781,0.0,0.12586754177137693,0.5818982860673703,0.4414559799175184,1.1961012989564281
44,COL5A1,linear down quadratic up,0.07824085890360719,linear_quadratic,1.2746056726512447,-0.08230941788219062,0.0076452512755141805,7.414920588976079e-263,0.12220850056718646,0.5817297233542071,0.3533261610184687,1.4901387047229695
45,MT-CO1,linear down,-0.07800981755671109,linear,1.5749754661234607,-0.07800981755671108,nan,0.0,0.1115783020624771,0.5808796293027474,0.581405773713466,0.8100965382714722
46,ZFPM2,quadratic down,-0.08764075027029987,quadratic,2.3889493401847504,-0.00417336906049047,nan,2.126780260001616e-291,0.10859788035816698,0.579834092633198,0.28070647301416535,1.672492955252824
47,NOX4,quadratic down,-0.07070381637101611,quadratic,1.424080283770857,-0.003366848398619814,nan,1.6061678743065268e-246,0.09738970563863458,0.5792697025127427,0.5569302492379415,1.0277247967330105
48,EBF1,linear up quadratic down,-0.06454980175325671,linear_quadratic,1.9597057971264973,0.12088624436288604,-0.008830287910292512,1.7687673994908855e-187,0.08080119743601288,0.57923970701395,0.260265375649991,1.8511364996915904
49,PLXDC2,linear down,-0.057810921761278077,linear,3.0305623880008414,-0.05781092176127807,nan,7.643500636637527e-151,0.03843979054657465,0.5786475546499581,0.21561771561771562,2.1910974804895105
50,PRRC2C,linear down quadratic up,0.0677000439839337,linear_quadratic,1.0271455624904582,-0.10655220706467126,0.00829772624040976,2.0655938358838833e-266,0.1254293216258371,0.5784365157827307,0.4624350008965394,1.1037481199623453
51,FOXP2,linear down,-0.09005990954263254,linear,1.8883376443437714,-0.09005990954263254,nan,0.0,0.12168936106567507,0.5779239439360714,0.5368477676169984,0.9466671987421554
52,AFF3,quadratic down,-0.05078590653766469,quadratic,0.8925330261024019,-0.0024183765017935567,nan,9.505709380884464e-223,0.05870687276683906,0.5770908910338142,0.6499910346064193,0.7347531932535414
53,TECRL,linear down,-0.07702657249855996,linear,1.551106006251383,-0.07702657249855996,nan,9.4720077e-317,0.10796418111333461,0.5769955428139093,0.5899228976152053,0.8064681319221804
54,RERG,linear up quadratic down,-0.05042095551792204,linear_quadratic,0.8287566215433075,0.022889227464297928,-0.003490961094391427,1.0185003345797692e-259,0.0910762724357207,0.575143655885904,0.6455979917518379,0.7227310355352341
