,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
2,RRAD,linear up quadratic down,-0.03475748143746452,linear_quadratic,-0.17327909212425646,0.35561192180220913,-0.02168718906887076,0.0,0.24520044716132883,0.6322432878619226,0.34412110837701937,0.8268526743570129
18,CTNNA3,linear up quadratic down,-0.04596622212341561,linear_quadratic,3.6970453968691754,0.03351648725608497,-0.004415706076638922,0.0,0.1393901304221471,0.588159138274922,0.0010698619878035734,3.631626842109768
19,SGCD,linear up quadratic down,-0.06151085027637809,linear_quadratic,3.016775315358618,0.07861007732269021,-0.007784495977726016,0.0,0.11621274959926808,0.5880599727196252,0.0074355408152348345,3.0166713820493207
23,TTN-AS1,linear up quadratic down,-0.09025979667862927,linear_quadratic,2.214854192148824,0.23156794284469107,-0.017879318862406686,3.100808954025438e-14,0.09578606248167831,0.5861395815269005,0.058360971434684925,2.5107847543308015
24,ANKRD1,linear up quadratic down,-0.037124735000778605,linear_quadratic,0.21051676152193735,0.3545460957746352,-0.0217594905986341,1.2187197258582454e-181,0.08981976359205868,0.5846289214701206,0.26570022467101745,1.2529296195929176
25,SLC8A1-AS1,linear up quadratic down,-0.09293647859517482,linear_quadratic,0.9233901394223706,0.3278044765089723,-0.023374497505785952,2.332815441181751e-25,0.14768348675327847,0.5841751990688564,0.11533112228522521,1.5762084233513427
27,MYBPC3,linear up quadratic down,0.018435860789844244,linear_quadratic,2.72289339381944,0.11139797211647513,-0.005164561740368383,0.0,0.13124878249733918,0.5831845502910924,0.002567668770728576,3.0804852332170753
30,SLC8A1,linear up quadratic down,-0.06621592560010134,linear_quadratic,3.5989364861976525,0.17008120194129014,-0.01312761819674397,2.2034305518619975e-41,0.14454531518350877,0.5795611951121828,0.000481437894511608,3.9074068321621915
31,TNNI3,linear up quadratic down,-0.019700620427661325,linear_quadratic,0.5178133998310555,0.3031433174019598,-0.017935774323867844,1.587572170040574e-309,0.13661125734018909,0.575918015005237,0.1552369744302985,1.3532678706670591
34,PALMD,linear up quadratic down,-0.06088295925150803,linear_quadratic,0.7188900690885605,0.25120269511365084,-0.017338091909175495,4.594692617114862e-50,0.144999358482378,0.574577927528708,0.12068043222424307,1.2508106061260296
41,DPF3,linear up quadratic down,0.0024543491206323736,linear_quadratic,1.3463270080942842,0.17107576526101065,-0.009367856452243238,2.3845796670829956e-279,0.1257498039356364,0.5724013026232817,0.03835455226275811,1.8164386153450307
45,EIF1B,linear up quadratic down,-0.011406916283066074,linear_quadratic,-0.035774064051406415,0.17123564618716597,-0.010146809026124002,0.0,0.13715435567762724,0.5693480891556872,0.4585428479726115,0.4793222502733497
46,HOOK2,linear up quadratic down,-0.02656577363952082,linear_quadratic,0.6903688417063849,0.2037597393572915,-0.012795861833156239,1.7067637542852361e-152,0.13492027675984897,0.5680985560661328,0.11501016368888413,1.1812850072472452
47,PLN,linear up quadratic down,-0.051742682329215646,linear_quadratic,0.4294709256757772,0.24808536911706952,-0.016657113969238066,3.627410468894124e-73,0.1335437425573226,0.5676373841246369,0.18915159944367177,1.0021656864346848
51,MIR1-1HG,linear up quadratic down,0.012536680708243098,linear_quadratic,0.1076179768129767,0.16475560689199711,-0.008456607010208556,0.0,0.11560371194780672,0.5662073337643243,0.35123569059591314,0.6697621492323741
52,CSRP3,linear up quadratic down,-0.046459798760796825,linear_quadratic,0.13208539839502753,0.2582831720406438,-0.01693016504452448,2.9497108575636175e-117,0.12715294336891048,0.5657797158836531,0.3034128597410934,0.787903617604044
53,PPP1R3C,linear up quadratic down,-0.040490348949657674,linear_quadratic,-0.08665141781087267,0.18092424792729178,-0.012300810937608302,5.462846969405888e-84,0.12072978536026402,0.5657745742934914,0.5523697443029849,0.4242109772600834
54,AC092353.2,linear up quadratic down,-0.07286923867182143,linear_quadratic,2.4069258322203377,0.13708705572722873,-0.011664238577725009,2.488886713406012e-108,0.060174000961112806,0.5643525938199045,0.03530544559751792,2.536125152560714
59,PLCL2,linear up quadratic down,-0.04548335725324838,linear_quadratic,1.4614566274590446,0.1801827767959772,-0.012537007447179198,3.23829123269395e-13,0.1079252206885487,0.5623375368837216,0.03455654220605542,1.8300595444768373
60,PSD3,linear up quadratic down,-0.0717034167855508,linear_quadratic,2.40677305672896,0.1619916971197672,-0.012983061883628777,2.2258298141971455e-25,0.09497886616249429,0.5613578321457187,0.00599122713170001,2.635303310806676
65,RILPL1,linear up quadratic down,0.004311711522342075,linear_quadratic,0.4467210770980289,0.181731361145751,-0.009856647201300497,0.0,0.1195981066940498,0.5605327395349882,0.1765272279875896,0.9912669241467852
66,B4GALT1,linear up quadratic down,-0.0043903801183476,linear_quadratic,0.09729787788335625,0.17707186485260062,-0.010081235831719347,9.6355491118e-313,0.1186534356705552,0.5604699889834878,0.35952712100139084,0.6346118015946294
71,DTNA,linear up quadratic down,-0.04882250903780663,linear_quadratic,2.434409598451156,0.04530322116714905,-0.005229207233608649,2.107605883563182e-194,0.08403318401640236,0.5578408974138274,0.009735744089012517,2.4019369297357445
83,AC107068.2,linear up quadratic down,-0.09731996483888827,linear_quadratic,0.7222907991712098,0.24730418689905947,-0.019145786207663763,0.00011449499987812588,0.06429847038346925,0.5553767610836071,0.28543917834599336,1.2564206054466673
85,PDZRN3,linear up quadratic down,-0.04703940312395391,linear_quadratic,2.4054461693241027,0.03428727690777668,-0.004518148890651699,1.4727142627224897e-262,0.0716927283877743,0.5543232189069522,0.014764095431689312,2.3200759709917618
86,PLIN5,linear up quadratic down,-0.04850019525633569,linear_quadratic,0.5243670046820557,0.23547081590646574,-0.0157761672868223,4.9080625725079654e-91,0.09499462917694568,0.5541130873409674,0.1606932705680967,1.0817314974403551
89,AC018464.1,linear up quadratic down,-0.07524507749050627,linear_quadratic,0.5530010236241811,0.2037726212416941,-0.01550098326290002,0.0010858745388922,0.10424382857707537,0.5534446345689152,0.21103027709425484,0.9241040669300311
90,GRAMD4,linear up quadratic down,0.027718171781243094,linear_quadratic,0.10759552741420379,0.08672651474183436,-0.0032782412755884035,0.0,0.10135522625267523,0.5534441527833034,0.442227452658607,0.4928267152931422
94,PCDH9,linear up quadratic down,-0.07614634037865675,linear_quadratic,1.9367189236308928,0.1480745911118883,-0.012456718416141392,6.986498262146564e-50,0.06849758317598975,0.5515375130846945,0.031186476944474163,2.1068626308168397
95,ERBB4,linear up quadratic down,-0.0751154993347874,linear_quadratic,1.9348926493576768,0.09964262998013783,-0.00970878496194029,5.436443946785417e-182,0.0741175078436227,0.5515040339665721,0.03921044185300096,1.9518739267470846
97,CPVL,linear up quadratic down,-0.06544145707632659,linear_quadratic,0.4340488426357318,0.22348061651548048,-0.016051226310655947,8.725081450030741e-06,0.09880202086534451,0.5503907365359901,0.2419492885417781,0.9083619470947897
98,AP005329.2,linear up quadratic down,-0.0763678028156019,linear_quadratic,0.7465664088511892,0.06280008486566137,-0.007731549315625737,9.907512313415406e-242,0.09413133083227354,0.5501648441355468,0.3320851610142292,0.7348426423783032
102,AKAP6,linear up quadratic down,-0.022154330429962565,linear_quadratic,2.5307867846202288,0.10556544720367134,-0.00709554320186855,6.248012178203094e-06,0.05547327855510942,0.5491185363327795,0.005188830640847331,2.756904541386006
103,NRAP,linear up quadratic down,-0.02633938885576216,linear_quadratic,0.8794705498675925,0.22137999089400262,-0.01376218776387582,1.3740330097676273e-86,0.08815419193183482,0.5487017893885465,0.10046004065475554,1.456245470690061
107,RFX2,linear up quadratic down,-0.014023439798837701,linear_quadratic,-0.09080167494860897,0.122771359426323,-0.007599711068064484,2.414528888402219e-243,0.09219582991459685,0.5481616762667847,0.6114261260297421,0.3261798296223387
