,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
76,PDLIM3,linear up,0.08224224604113618,linear,0.5845640712677737,0.08224224604113618,nan,0.0,0.10189307427805738,0.5569398825454737,0.2312506686637424,1.0533715169942228
182,GTF2IRD1,linear up,0.0454631187500075,linear,0.692340124818538,0.0454631187500075,nan,4.2709925718373793e-299,0.06915046250350698,0.5353164950408498,0.18920509254306195,0.9421770289889804
251,LARGE1,linear up,0.02140428416334922,linear,2.4941531206197505,0.021404284163349212,nan,3.885803217335744e-96,0.01825886661968723,0.5286907169024431,0.005777254734139296,2.5842192859452235
274,TNNT1,linear up,0.029804946248188302,linear,0.09089021761951308,0.029804946248188302,nan,0.0,0.042507699400615606,0.5264497520561122,0.5839841660425805,0.3678094872504547
278,SLC27A1,linear up,0.03218786544426207,linear,0.3591177549333041,0.03218786544426207,nan,3.77255772860336e-224,0.049374613683094704,0.52627544418471,0.35824328661602656,0.5815049279902642
285,CIRBP,linear up,0.025989975140185098,linear,0.20731089036114836,0.025989975140185098,nan,2.0797685011562037e-253,0.04921811378086616,0.5256916013724615,0.4806889911201455,0.4084228919166577
287,OBSCN,linear up,0.02691412129585377,linear,1.6235357514466597,0.026914121295853757,nan,3.927760126188228e-158,0.03345846656156737,0.5254966607766502,0.03011661495667059,1.7436708659548517
317,TACC2,linear up,0.02412792112164419,linear,1.9102087582283662,0.024127921121644205,nan,1.9036543414143306e-99,0.018438549538078663,0.5230058274942864,0.015780464320102706,2.0142802199277843
336,RAMP1,linear up,0.0349943647090545,linear,0.8008918690453609,0.034994364709054496,nan,1.3766302361809065e-195,0.04299975352117047,0.5218638563255029,0.1602118326735851,0.9741470333374346
361,MROH1,linear up,0.024763715469538133,linear,0.2838933831477473,0.024763715469538133,nan,1.891480025898211e-194,0.03753354691863009,0.5200714398051288,0.42842623301594096,0.4762672504044078
386,CSDC2,linear up,0.0331001592293826,linear,0.619436573686117,0.03310015922938259,nan,2.793204996846565e-151,0.03521502027696055,0.5188799554773812,0.2563389322777362,0.8276274942778431
452,FOXK2,linear up,0.029281835408328072,linear,0.4754385690679873,0.02928183540832807,nan,1.6187111814840512e-140,0.03102864490140922,0.5161818199692729,0.2973681395100032,0.662384981619771
516,CASZ1,linear up,0.027414911945153025,linear,0.8461195119579781,0.027414911945153022,nan,1.8202596675909386e-121,0.025454052922368797,0.5132814642766826,0.1542206055418851,0.9749096571338397
563,SRL,linear up,0.024650939900257213,linear,1.2827580334773119,0.024650939900257213,nan,4.548987404102517e-112,0.02054962237119151,0.512018468788685,0.06424521236760458,1.3819669030084518
607,MYPN,linear up,0.025721259385457135,linear,1.3604975844933918,0.025721259385457145,nan,3.517608968042468e-79,0.013801830731904441,0.5108233417133191,0.06964801540601262,1.4689851623740238
613,UBE2G2,linear up,0.017913193996556602,linear,0.4219363041061565,0.017913193996556605,nan,1.3089298851371874e-97,0.019983081989777718,0.5107319353072705,0.34733069434043007,0.5559812590157269
675,ABR,linear up,0.02214123163233426,linear,0.7016250806515967,0.02214123163233425,nan,3.5600059166638435e-79,0.017562003650753777,0.5093013640517123,0.2144003423558361,0.8159499986000855
680,ACADVL,linear up,0.014992138060693341,linear,0.2977831618988299,0.014992138060693338,nan,2.89900437579995e-122,0.013926817847146222,0.5092002789867871,0.45875682037017224,0.44267766231411154
716,PHF20,linear up,0.018585601935945873,linear,0.46879347527728077,0.018585601935945877,nan,3.0962126574019773e-82,0.01604234503913482,0.5086344372868336,0.3299989301380122,0.6097160879239328
739,TFCP2,linear up,0.022417831724337076,linear,0.5317860772953165,0.02241783172433708,nan,1.004326151998852e-74,0.015541757443569448,0.5081920609968504,0.2891302022039157,0.6756404602139725
759,MRTFA,linear up,0.016746041595525743,linear,0.5625061323036691,0.016746041595525743,nan,2.3776032190404062e-61,0.01174078673270662,0.5078803314412226,0.2896651331978175,0.691036941805927
770,ACTN1,linear up,0.013816458278253202,linear,0.29806684223121305,0.013816458278253198,nan,1.3415589964788664e-151,0.0028460855567653542,0.5077117034000237,0.48229378410185086,0.46928306238632717
777,GYS1,linear up,0.015326621351628163,linear,0.3074199742880431,0.015326621351628161,nan,1.9621344805134696e-107,0.012371027966041948,0.507632389664491,0.44645340751043117,0.451911425605007
790,KLC1,linear up,0.01542559928856968,linear,0.4828117584402689,0.015425599288569682,nan,1.431622860407372e-68,0.012796201905536875,0.5073931074462571,0.3182839413715631,0.6040909231068792
798,PHACTR4,linear up,0.020505225615411127,linear,0.736171893342055,0.02050522561541113,nan,2.771190705088361e-71,0.013765146624572733,0.507249498319028,0.21557719054242003,0.8268455653600085
846,MYH9,linear up,0.012436501775746234,linear,0.7247621828086291,0.012436501775746239,nan,9.102383417894855e-39,0.009053604259541048,0.5064347668629149,0.2376698405905638,0.7963009657221568
850,HNRNPH1,linear up,0.013305056244158259,linear,0.3309608012001402,0.013305056244158259,nan,2.4014330950405952e-88,0.010580321888923105,0.506364158854256,0.42751685032630793,0.4557277019637316
868,PRDM16,linear up,0.01787068298146821,linear,1.0047432770062565,0.01787068298146821,nan,6.875642458318492e-56,0.010682450526592335,0.5060803318686976,0.1261367283620413,1.0793450460917944
876,CERS4,linear up,0.016131502116653724,linear,0.22920964305757377,0.016131502116653724,nan,3.250665761840889e-132,0.009471094694553983,0.5059360077676194,0.5136407403444956,0.3925558693965979
882,ADCY9,linear up,0.018790849943387616,linear,0.6255580568741831,0.018790849943387616,nan,1.9358262115215425e-49,0.01060812895957941,0.5058584906831314,0.2627046111051674,0.7439111116989409
896,PPARA,linear up,0.016720798712463424,linear,0.7020353426013222,0.016720798712463424,nan,1.001654999942415e-48,0.010205897854950075,0.5055918788970168,0.23740237509361292,0.7820364894468814
909,GSN,linear up,0.014088226988617763,linear,0.46059756464455376,0.014088226988617766,nan,5.340917429512823e-60,0.008379318897380417,0.5054272841040326,0.331443243821547,0.5827573421247458
921,TNNC1,linear up,0.012856691709535725,linear,0.37744002226245976,0.012856691709535725,nan,3.407339548507313e-69,0.003510450491506556,0.505282066478907,0.4024820798117043,0.5106149448277522
926,VMP1,linear up,0.014110238800281845,linear,0.7371862945229143,0.014110238800281841,nan,9.500443266181988e-44,0.008387238518771212,0.5052272629970811,0.2254199208302129,0.7956769925783674
927,SFMBT2,linear up,0.015401209102001483,linear,0.7794435230429192,0.015401209102001477,nan,1.041385247108902e-43,0.008831950344561856,0.5052166782493814,0.21552369744302985,0.8477305589873757
947,ZNF44,linear up,0.013934482105582013,linear,0.49631657908425475,0.013934482105582017,nan,2.132787350436713e-51,0.00899908169112329,0.5049455254105649,0.3191398309618059,0.6069304046330374
950,PRRC2B,linear up,0.013481919369208985,linear,0.6484878302332905,0.013481919369208985,nan,3.19261785148343e-36,0.008277566292761107,0.5049174451098197,0.2522199636246924,0.7234288727388466
954,RREB1,linear up,0.022647049933907884,linear,0.591177805329226,0.022647049933907884,nan,7.088671497744294e-51,0.008150559079766473,0.5048748288096421,0.2666096073606505,0.7395533338937627
958,SPG7,linear up,0.011866210470290836,linear,0.38762460439093666,0.011866210470290834,nan,2.4132489322230917e-64,0.0072820260140231685,0.5048361427733841,0.3918369530330587,0.499431187922328
968,SRRM1,linear up,0.01236845753175254,linear,0.3465167320931856,0.01236845753175254,nan,3.5272264778098265e-74,0.00819684244014418,0.504702877223719,0.41992083021290255,0.4637238673119717
983,ZNRF1,linear up,0.014072906751939916,linear,0.6290767025003193,0.014072906751939918,nan,8.43191834879447e-34,0.007337231309904824,0.5044421569612167,0.2684818658393067,0.7203158643693163
992,ABL1,linear up,0.015510635721092576,linear,0.6406037090726328,0.015510635721092578,nan,1.1200853071715581e-35,0.007643124899893272,0.5043758877756663,0.2661281694661389,0.7388953264967368
993,HP1BP3,linear up,0.01140973118993737,linear,0.4947761821084054,0.011409731189937369,nan,2.189532063185818e-46,0.006513070059521842,0.5043631745601216,0.32491708569594524,0.5952878798689418
996,PTP4A2,linear up,0.013819996758862169,linear,0.2753991117414166,0.013819996758862169,nan,1.9388184511518616e-93,0.00658030814209809,0.5043243269096722,0.47961912913234195,0.4141370565480903
1004,GLYR1,linear up,0.014893251523310988,linear,0.5527625440924236,0.014893251523310993,nan,1.4358014810228154e-39,0.00759773700651678,0.5042281577495769,0.2846367818551407,0.6576477062084092
1011,GRIK2,linear up,0.010866256840153132,linear,0.6196729796426917,0.010866256840153132,nan,2.426435943445533e-28,-0.0026516834609924267,0.5041229310584872,0.3830640847330694,0.7523999426372098
1036,UBE2K,linear up,0.015946909450585293,linear,0.7668312522580986,0.0159469094505853,nan,1.5427795319418034e-45,0.00709650927101757,0.5039145693959314,0.20819514282657536,0.8283766158788917
1061,ZNF544,linear up,0.01225550588449243,linear,0.5299758210259417,0.012255505884492427,nan,9.965340834614247e-38,0.006087164401987422,0.5036025635079051,0.307478335294747,0.6290190386696267
1062,SMG6,linear up,0.01347859780634103,linear,0.7371755913715509,0.013478597806341036,nan,6.7059958707536e-36,0.006384585596905024,0.5036010716388464,0.22654327591740667,0.7921217891499948
