,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
36,FGF12,quadratic down,-0.04580388506854283,quadratic,4.115469849521256,-0.0025446602815857116,nan,0.0,0.07441660020086316,0.5736651252554973,0.0026211618701187547,3.9133407370723226
42,INPP4B,quadratic down,-0.061992616772055906,quadratic,2.2441090011703397,-0.0034440342651142174,nan,0.0,0.1176811566378051,0.5713741768221483,0.03707071787739381,1.9970863341269922
43,PCDH7,quadratic down,-0.09248087868988497,quadratic,2.438074476135834,-0.005137826593882499,nan,0.0,0.08786826791693003,0.5706241182203614,0.10062051995292608,2.051839914770514
44,TECRL,quadratic down,-0.05266106075284935,quadratic,3.1067604830887574,-0.0029256144862694084,nan,0.0,0.11266418409698054,0.569924597534041,0.0035840376591419706,2.9199698590793837
57,SPHKAP,quadratic down,-0.06293341179522774,quadratic,2.1372394302647244,-0.0034963006552904304,nan,0.0,0.10846019601760848,0.5636857512297169,0.03680325238044292,1.9031681800781002
63,LAMA2,quadratic down,-0.035237473120126345,quadratic,3.7457256164553807,-0.001957637395562575,nan,0.0,0.09726142487731637,0.5606911050316457,0.0007489033914625013,3.6241339485503374
67,ZBTB20,quadratic down,-0.030974228918192348,quadratic,2.8695563743473236,-0.001720790495455131,nan,0.0,0.08096564410605878,0.5604321279040734,0.0040654755536535785,2.745337882954959
77,CD36,quadratic down,-0.04889907886813456,quadratic,2.7486836618840402,-0.0027166154926741423,nan,0.0,0.08230380036406015,0.5565863438936789,0.008505402803038409,2.568564799534075
78,TRDN-AS1,quadratic down,-0.0428226939798268,quadratic,2.6401299284687862,-0.002379038554434822,nan,2.3443605070943772e-293,0.06849259125199736,0.5561417043133925,0.018348133090831283,2.4613593669321707
110,ZFPM2,quadratic down,-0.038992201809634836,quadratic,2.2822818017314757,-0.002166233433868602,nan,6.874979984799928e-292,0.0672886484953551,0.547746486899243,0.015085054028030384,2.123157640312934
113,FILIP1,quadratic down,-0.03169354406303593,quadratic,2.4967965175795097,-0.0017607524479464412,nan,8.002902149484035e-270,0.055807088823451756,0.5474282941256584,0.009040333796940195,2.361164493546592
118,AC009264.1,quadratic down,-0.09505824470762855,quadratic,1.614457929922903,-0.005281013594868253,nan,0.0,0.08487866335356886,0.5465384006439082,0.1810206483363646,1.2893629982780572
119,VWA8,quadratic down,-0.03921576382034811,quadratic,2.0305514083002,-0.0021786535455748947,nan,1.4419757053893133e-308,0.0684493737976607,0.5455420026250606,0.0273349737883813,1.8612519917123138
146,LINC02208,quadratic down,-0.024356070428322885,quadratic,2.453844928289937,-0.0013531150237957165,nan,8.368890428223333e-40,-0.005994549851567443,0.5397791760058148,0.08435861773831176,2.2502301538766445
148,EXOC6B,quadratic down,-0.035579879483284504,quadratic,2.7390239509578738,-0.001976659971293584,nan,8.73362148628944e-236,0.05033244084628963,0.5391109273303275,0.0040654755536535785,2.5962098169861987
206,QKI,quadratic down,-0.01929667875189542,quadratic,2.6412601826163034,-0.0010720377084386349,nan,1.7060468603210642e-142,0.027130517746707272,0.5334927355492085,0.0054562961377982245,2.5456969867845296
207,AL136171.2,quadratic down,-0.03269811847830245,quadratic,2.131615317196295,-0.001816562137683469,nan,7.813969026100586e-180,0.034111815776658116,0.5333842774888571,0.040226810741414355,1.9666343988910882
208,FHIT,quadratic down,-0.024492053291353427,quadratic,2.424831928577927,-0.0013606696272974116,nan,8.434584773846312e-145,0.023759391432292776,0.5329614085756529,0.014122178239007167,2.295178632190008
