,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
26,NEAT1,quadratic up,0.05662184301298312,quadratic,4.18080944615935,0.00314565794516573,nan,0.0,0.1619957902439244,0.5838185790805921,5.349309939017867e-05,4.35130230944688
131,LDB3,quadratic up,0.033199101184455626,quadratic,3.0965789908532892,0.0018443945102475335,nan,2.433006131732989e-253,0.06355250844743432,0.5424934120659577,0.0007489033914625013,3.1784403975377127
183,GPC5,quadratic up,0.05450497179185293,quadratic,0.17257611189109767,0.0030280539884362735,nan,4.5634267147905315e-255,-0.03537479527859455,0.5352954380956777,0.6102492778431582,0.5969582100197925
320,NFIC,quadratic up,0.044075015705550544,quadratic,0.8114395596617027,0.002448611983641697,nan,1.1028010979328071e-182,0.04425584811737704,0.5229650713718044,0.18321386541136195,0.9138742838108483
331,TOGARAM2,quadratic up,0.05605616759462765,quadratic,0.9726048869721218,0.0031142315330348696,nan,1.7656026690205308e-172,0.04002942148717459,0.5221339323680707,0.18658393067294318,1.0909327924756607
410,CUX1,quadratic up,0.028632337033125788,quadratic,1.6688167567719354,0.0015906853907292104,nan,8.256210030154024e-95,0.020642678570766737,0.5178979331035702,0.024285867123141115,1.7164368303000963
475,GPI,quadratic up,0.035234631320083615,quadratic,1.0772094494671263,0.0019574795177824227,nan,2.925384684939615e-126,0.028733238277456663,0.5153002489995231,0.11265646731571627,1.1440613801187547
541,SMAD3,quadratic up,0.026387621590794334,quadratic,0.33018614965845106,0.0014659789772663518,nan,2.067410178250223e-148,0.020909130079288962,0.5124662019932342,0.4542099069220071,0.4645722999743233
542,NCOR2,quadratic up,0.024000512308375535,quadratic,0.3915785209500049,0.0013333617949097519,nan,6.985271122500484e-116,0.022772486422281357,0.5124582039579328,0.39354873221354447,0.5025789508804964
571,CALD1,quadratic up,0.012673636687764223,quadratic,1.939926366102556,0.0007040909270980121,nan,1.0368637820050505e-15,-0.0022144176670721993,0.5119327618614782,0.02129025355729111,1.9325975664459185
617,MFN2,quadratic up,0.02087927024831387,quadratic,0.3556911520369011,0.0011599594582396592,nan,7.905018511455848e-123,0.018527518699181345,0.5106040745682192,0.4277843158232588,0.4644044524665668
645,PTP4A3,quadratic up,0.025062369952821566,quadratic,0.3662559010073256,0.0013923538862678647,nan,2.823398726229798e-108,0.016445439188272015,0.5098798043950049,0.42045576120680433,0.48999814589066015
683,ZMIZ1,quadratic up,0.026948579453929554,quadratic,0.5506996155922308,0.0014971433029960864,nan,7.590289665640459e-75,0.01644531927796622,0.5091670571149356,0.29902642559109877,0.6535469320782069
725,TCF25,quadratic up,0.02089702139084556,quadratic,0.41802184517745367,0.0011609456328247536,nan,1.7110472246302044e-84,0.014519019209439876,0.5084242620658374,0.37974751257087835,0.5191220710094148
746,PER1,quadratic up,0.018630933228975077,quadratic,0.3738719543386431,0.0010350518460541709,nan,1.5711137392789464e-104,0.013436102120929716,0.5080993763920647,0.4288541778110624,0.479823861984059
762,YWHAE,quadratic up,0.019963563173717735,quadratic,0.45610668907267515,0.0011090868429843186,nan,4.016760158671269e-77,0.013390983112474997,0.5078393416574513,0.35711993152883276,0.5492336887471916
765,GNB1,quadratic up,0.01771574139217037,quadratic,0.4120533662615682,0.000984207855120576,nan,2.163053186659655e-74,0.011535459381489255,0.5078014592250722,0.39681181127634535,0.512285295248208
819,MSI2,quadratic up,0.02265495591787936,quadratic,1.580280652148218,0.0012586086621044089,nan,2.089949884134884e-28,0.00034637511056101467,0.5068212443831803,0.040440783138975075,1.6048443120755322
839,ATP1A3,quadratic up,0.01700069291694864,quadratic,0.3876732799231441,0.00094448293983048,nan,1.0779478089621049e-87,0.009771650321104719,0.5064983494265443,0.4210976783994865,0.4906138089804215
855,USP54,quadratic up,0.019897350662643178,quadratic,0.4347200474203239,0.0011054083701468433,nan,5.6311322916270085e-74,0.010472018185102572,0.5062664324803288,0.39151599443671764,0.5368144930041724
862,TNRC18,quadratic up,0.016599154990048326,quadratic,0.2913109507145276,0.0009221752772249071,nan,3.356790982067364e-105,0.007100587228990873,0.5061742829949203,0.4917085695945223,0.4032228101840163
884,LUC7L,quadratic up,0.014044506789147357,quadratic,0.4017769559187598,0.000780250377174853,nan,2.7071754733980335e-65,0.009003217076075098,0.5058047754506015,0.40023536963731676,0.4848943142008131
914,SRSF5,quadratic up,0.01790002064484197,quadratic,0.43004833835356826,0.0009944455913801094,nan,1.0104833740464834e-66,0.009832230415573573,0.5053694245498221,0.38557826040440785,0.5219717160955386
919,R3HDM2,quadratic up,0.027478624142657823,quadratic,1.3541970211985477,0.0015265902301476561,nan,6.0517764977884835e-61,0.00675001423982613,0.5052890678196731,0.07376698405905638,1.3827374900652618
937,COQ8A,quadratic up,0.0192384475471173,quadratic,0.708075047288974,0.001068802641506517,nan,3.1376311140528374e-34,0.009019618641616378,0.5050380020507352,0.24681716058628436,0.754057735527977
942,CTTN,quadratic up,0.016466065562215033,quadratic,0.4656815499182965,0.0009147814201230575,nan,2.364279069347342e-63,0.008151929572453032,0.5049893151616063,0.36423451374772653,0.5542118536904889
952,CAPZB,quadratic up,0.01699625576689864,quadratic,0.4646200601520072,0.000944236431494369,nan,5.747214186510099e-58,0.00802489027305342,0.5049099400339968,0.3557291109446881,0.5516864497293249
984,PRKRIP1,quadratic up,0.017406055319901734,quadratic,0.5385851969669556,0.0009670030733278739,nan,4.85337065842576e-42,0.007906128858221617,0.5044119870337445,0.3150743554081524,0.6148313779554936
987,MYO9B,quadratic up,0.013639621699355904,quadratic,0.323749481498986,0.0007577567610753279,nan,5.708432055952357e-84,0.0036997020911009315,0.5043872506378326,0.47036482293784104,0.4245911704177811
1077,MTCH1,quadratic up,0.016421831279564158,quadratic,0.36111136886182593,0.0009123239599757865,nan,8.86146617650446e-67,0.0052560759922494205,0.5034199829666162,0.44399272493848296,0.46153270572429655
1103,USP4,quadratic up,0.014127503276118527,quadratic,0.2820809597357066,0.0007848612931176961,nan,4.859431483587378e-78,0.003946144093705306,0.5031314838304164,0.49914411040975715,0.38212097222852254
1119,BRD4,quadratic up,0.011497655539760725,quadratic,0.44837556338350354,0.000638758641097818,nan,1.4865154719225574e-42,0.0034406445466617086,0.502992461696719,0.3756285439178346,0.5243926981132984
1133,SRSF4,quadratic up,0.015171349391042033,quadratic,0.6687992142948733,0.0008428527439467798,nan,3.2532764412065773e-22,0.005098198891747119,0.5029027428589554,0.2602974216326094,0.7023678400010699
1139,LIMS2,quadratic up,0.015239889348475984,quadratic,0.447495977175998,0.0008466605193597769,nan,6.975448231602236e-47,0.00259697090583888,0.5028346073150106,0.3791590884775864,0.5387450916486574
1155,FAM222B,quadratic up,0.01542603323786806,quadratic,0.3564408394756599,0.0008570018465482255,nan,3.9157374703906705e-64,0.0018052361285049168,0.5027445460267352,0.45356798972932494,0.4602893235781535
1163,ATP13A3,quadratic up,0.011191716860290114,quadratic,0.7551435202704104,0.000621762047793895,nan,5.644330186247312e-15,0.0035544046710370703,0.5027088793981482,0.24660318818872365,0.7852407239574194
1220,UBE2R2,quadratic up,0.020072586180053725,quadratic,0.9872233720736725,0.0011151436766696512,nan,2.971916465124271e-39,0.0038124267892288843,0.5021717966299979,0.14951321279554938,1.0011914860532791
1224,NAV1,quadratic up,0.015878154139240402,quadratic,1.0705888606726472,0.0008821196744022443,nan,1.2780672115568735e-19,0.00284857721059939,0.5021386722304609,0.1602118326735851,1.085059423806569
1242,LARP1,quadratic up,0.012461304681343863,quadratic,0.5925426187129437,0.0006922947045191035,nan,8.655853433414243e-22,0.0018323798061405938,0.501996129133504,0.29330266395634963,0.6600749864004493
1271,SNX6,quadratic up,0.008634854401898276,quadratic,0.5971759414531169,0.00047971413343879317,nan,1.6943700480053952e-17,0.000665881492644238,0.5017614267501744,0.30132662886487643,0.6561779584647481
1289,DGKD,quadratic up,0.009527195737484118,quadratic,0.4526226778803013,0.0005292886520824512,nan,6.93875059427159e-31,-0.0009510194652364579,0.5015348707407612,0.384722370814165,0.5263656771627261
1290,MTDH,quadratic up,0.0073174531968656364,quadratic,0.6761787293582939,0.0004065251776036464,nan,1.9248869353861236e-07,0.001925019157254293,0.5015301503373079,0.2677329624478442,0.6967750888220821
1303,BMERB1,quadratic up,0.011232783904673166,quadratic,0.517586760825144,0.0006240435502596202,nan,4.6882504085503e-28,0.0015046781106174967,0.501429319197705,0.34765165293677114,0.588816417387397
1326,SGK3,quadratic up,0.011772245192064192,quadratic,0.6002409200652995,0.0006540136217813437,nan,2.7870804309689756e-17,0.001618578960731254,0.5012358237315732,0.292821226061838,0.6592533653370065
1398,NT5C2,quadratic up,0.011952557831289852,quadratic,0.8362460246472941,0.0006640309906272135,nan,1.0536283225993917e-13,0.0004961803081242611,0.5006805144902652,0.20279233978816733,0.8384530476810741
1428,KLRD1,quadratic up,0.013193202489958252,quadratic,0.35747825977452075,0.0007329556938865697,nan,2.0473277305388646e-76,-0.008640192330680918,0.5005455588786264,0.4891943939231839,0.48479006111426126
1431,CDR2,quadratic up,0.010083816729901458,quadratic,0.45192711513950135,0.000560212040550081,nan,1.4538496445341083e-32,-0.0009514614276424638,0.5005154423866771,0.40002139723975605,0.5279326864138226
1436,PEBP4,quadratic up,0.014807031717951988,quadratic,0.952478041251287,0.0008226128732195548,nan,1.4140192894287694e-10,-0.0003756679189867995,0.5004910002570393,0.18663742377233336,0.9602855745185621
1460,DNAJC11,quadratic up,0.008344510528952156,quadratic,0.3937329042765678,0.00046358391827511973,nan,5.811271698971479e-29,-0.002829316039396179,0.5002888796653946,0.4237188402696052,0.46502429520434363
