Gene ID,Expression pattern,Fitted function,adjusted P-value,R-squared,mod_rsquared_adj,Terminal_logFC,Transient_logFC,Switching_time,area,cluster
GRXCR2,linear down quadratic up,linear_quadratic,0,0.29,0.65,-0.02,-1.8,0.03,59.63,4
SEMA5A,linear down quadratic up,linear_quadratic,0,0.25,0.63,-0.12,-0.82,0.1,48.83,2
PRKG1,linear down quadratic down,linear_quadratic,0,0.19,0.61,-0.19,-0.01,0.62,10.97,1
FHOD3,linear down quadratic up,linear_quadratic,0,0.19,0.61,0.01,-2.06,0.97,64.71,4
L3MBTL4,linear down quadratic up,linear_quadratic,0,0.19,0.60,-0.05,-1.51,0.04,56.02,4
NLGN1,linear down quadratic up,linear_quadratic,0,0.19,0.61,-0.18,-0.12,0.21,29.2,2
PDE1A,linear down quadratic up,linear_quadratic,0,0.18,0.61,0.01,-1.97,0.97,60.93,4
MALAT1,linear up quadratic down,linear_quadratic,2.63458465658498E-08,0.18,0.59,-0.14,0.54,0.87,41.93,1
PRELID2,linear down quadratic up,linear_quadratic,0,0.18,0.60,-0.1,-1.09,0.07,53.39,4
PPP1R1C,linear down quadratic up,linear_quadratic,0,0.18,0.59,-0.18,-0.17,0.18,32.03,2
LRRTM3,linear up quadratic down,linear_quadratic,9.64153649947744E-16,0.18,0.60,-0.13,0.69,0.89,45.77,1
PDLIM3,linear up quadratic down,linear_quadratic,0,0.17,0.59,-0.05,1.57,0.96,57.86,6
RRAD,linear up quadratic down,linear_quadratic,0,0.17,0.60,-0.05,1.54,0.96,57.19,6
AC022034.3,linear down quadratic up,linear_quadratic,0,0.17,0.60,-0.02,-1.93,0.03,61.49,4
AC011287.1,linear down quadratic up,linear_quadratic,0,0.17,0.61,-0.19,-0.05,0.25,25.06,2
HDAC9,linear down quadratic up,linear_quadratic,0,0.16,0.59,-0.19,-0.02,0.35,14.87,2
NEAT1,linear up,linear,0,0.16,0.58,0.21,0,0.5,0.33,5
