Gene stable ID,HGNC ID,HGNC symbol,Gene name,Chromosome/scaffold name
ENSG00000167393,HGNC:13417,PPP2R3B,PPP2R3B,X
ENSG00000225661,HGNC:37720,RPL14P5,RPL14P5,X
ENSG00000235039,HGNC:39475,MTND6P12,MTND6P12,X
ENSG00000286431,,,,X
ENSG00000236120,,,,X
ENSG00000238193,HGNC:54887,HADHBP1,HADHBP1,X
ENSG00000236188,HGNC:40479,PRKX-AS1,PRKX-AS1,X
ENSG00000228572,,,,X
ENSG00000236513,,,,X
ENSG00000234622,,,,X
ENSG00000183943,HGNC:9441,PRKX,PRKX,X
ENSG00000236017,HGNC:25811,ASMTL-AS1,ASMTL-AS1,X
ENSG00000225574,HGNC:44334,DRAXINP1,DRAXINP1,X
ENSG00000177504,HGNC:18158,VCX2,VCX2,X
ENSG00000231619,HGNC:54888,ANAPC15P1,ANAPC15P1,X
ENSG00000231216,,,GS1-600G8.3,X
ENSG00000225271,HGNC:54890,NOLC1P1,NOLC1P1,X
ENSG00000185291,HGNC:6012,IL3RA,IL3RA,X
ENSG00000182162,HGNC:15524,P2RY8,P2RY8,X
ENSG00000237730,HGNC:36531,RPS5P8,RPS5P8,X
ENSG00000226313,HGNC:51963,MTCYBP12,MTCYBP12,X
ENSG00000182888,HGNC:54884,RPS27AP20,RPS27AP20,X
ENSG00000215313,HGNC:36171,RPL6P30,RPL6P30,X
ENSG00000169100,HGNC:10992,SLC25A6,SLC25A6,X
ENSG00000237531,,,,X
ENSG00000125363,HGNC:461,AMELX,AMELX,X
ENSG00000196433,HGNC:750,ASMT,ASMT,X
ENSG00000223571,HGNC:38713,DHRSX-IT1,DHRSX-IT1,X
ENSG00000226985,HGNC:49634,LINC01203,LINC01203,X
ENSG00000169084,HGNC:18399,DHRSX,DHRSX,X
ENSG00000146950,HGNC:630,SHROOM2,SHROOM2,X
ENSG00000231913,HGNC:48702,RARRES2P3,RARRES2P3,X
ENSG00000011201,HGNC:6211,ANOS1,ANOS1,X
ENSG00000169093,HGNC:751,ASMTL,ASMTL,X
ENSG00000205755,HGNC:14281,CRLF2,CRLF2,X
ENSG00000275194,HGNC:55923,FAM9CP1,FAM9CP1,X
ENSG00000223511,HGNC:56008,LINC02968,LINC02968,X
ENSG00000225722,HGNC:54886,RPL24P9,RPL24P9,X
ENSG00000177138,HGNC:18404,FAM9B,FAM9B,X
ENSG00000236871,HGNC:31843,LINC00106,LINC00106,X
ENSG00000004961,HGNC:4837,HCCS,HCCS,X
ENSG00000226774,HGNC:54901,HIKESHIP1,HIKESHIP1,X
ENSG00000146938,HGNC:14287,NLGN4X,NLGN4X,X
ENSG00000285679,,,,X
ENSG00000223742,,,,X
ENSG00000276467,,,,X
ENSG00000232392,HGNC:54892,GOT2P7,GOT2P7,X
ENSG00000225384,,,,X
ENSG00000183304,HGNC:18403,FAM9A,FAM9A,X
ENSG00000229012,,,,X
ENSG00000285756,,,,X
ENSG00000235592,,,,X
ENSG00000101955,HGNC:11309,SRPX,SRPX,X
